,Len Guy,Halbrane,Jeorling,Hunt,Jane,Dirk Peters,William Guy,Grampus,Arthur Pym,Patterson
Len Guy,0.0,0.07393815212815301,0.02355486736611669,0.15191807833762838,0.019519899609085553,0.00920579837049819,0.02735644931733743,0.023928248283606655,0.011016705422640822,0.00907382734532342
Halbrane,0.07393815212815301,0.0,0.028172115348121397,0.23623762394999476,0.01247166252168732,0.011813443043758776,0.0349705277962493,0.009888329046876936,0.014933302600737343,0.01033811170582219
Jeorling,0.02355486736611669,0.028172115348121397,0.0,0.4545136476240853,0.14205655727751476,0.03844095850022271,0.1256865281087908,0.056077323095670394,0.07769033171306747,0.04079988481964541
Hunt,0.15191807833762838,0.23623762394999476,0.4545136476240853,0.0,0.41113310508172707,0.2829623331422258,0.17264935314125657,0.3327280289051153,0.2792011557798943,0.19319564181834234
Jane,0.019519899609085553,0.01247166252168732,0.14205655727751476,0.41113310508172707,0.0,0.11987368443263001,0.03389047925340817,0.0342694148661087,0.02950897701024382,0.006801152478430391
Dirk Peters,0.00920579837049819,0.011813443043758776,0.03844095850022271,0.2829623331422258,0.11987368443263001,0.0,0.4764860310754626,0.1469231818920613,0.08807989579169295,0.08696510451436125
William Guy,0.02735644931733743,0.0349705277962493,0.1256865281087908,0.17264935314125657,0.03389047925340817,0.4764860310754626,0.0,0.26402622981026896,0.14536862448290555,0.06922378676786939
Grampus,0.023928248283606655,0.009888329046876936,0.056077323095670394,0.3327280289051153,0.0342694148661087,0.1469231818920613,0.26402622981026896,0.0,0.10597034941876374,0.22831130865241794
Arthur Pym,0.011016705422640822,0.014933302600737343,0.07769033171306747,0.2792011557798943,0.02950897701024382,0.08807989579169295,0.14536862448290555,0.10597034941876374,0.0,0.24462440125056176
Patterson,0.00907382734532342,0.01033811170582219,0.04079988481964541,0.19319564181834234,0.006801152478430391,0.08696510451436125,0.06922378676786939,0.22831130865241794,0.24462440125056176,0.0
