,Len Guy,Halbrane,Jeorling,Hunt,Jane,Dirk Peters,William Guy,Grampus,Arthur Pym,Patterson
Len Guy,0.0,0.06679760835286622,0.02113650445680696,0.1326486466241736,0.017540312975159827,0.009322455484474402,0.02362073140233483,0.022079364698074196,0.009969665063948106,0.008097369825933934
Halbrane,0.06679760835286622,0.0,0.024986492676247044,0.2061183275754345,0.011159921257054138,0.012076283192885695,0.030231112163552926,0.008984127268286436,0.012989675030954972,0.009371688626971552
Jeorling,0.02113650445680696,0.024986492676247044,0.0,0.3978843266609779,0.12434660368534738,0.03652084979611578,0.10878065106241155,0.0511100475400953,0.06840875142514917,0.03584545681828829
Hunt,0.1326486466241736,0.2061183275754345,0.3978843266609779,0.0,0.36844036089761517,0.2601770157113359,0.1574081087338594,0.31816084840918935,0.2748099952265249,0.17171675394410374
Jane,0.017540312975159827,0.011159921257054138,0.12434660368534738,0.36844036089761517,0.0,0.11825135070445726,0.02937613888299875,0.031536102962589595,0.027080347350639696,0.006058246404450988
Dirk Peters,0.009322455484474402,0.012076283192885695,0.03652084979611578,0.2601770157113359,0.11825135070445726,0.0,0.4362751408366934,0.13154673462563085,0.07945766728281002,0.07780468349591461
William Guy,0.02362073140233483,0.030231112163552926,0.10878065106241155,0.1574081087338594,0.02937613888299875,0.4362751408366934,0.0,0.238510527309259,0.13419861995340046,0.061445277845699545
Grampus,0.022079364698074196,0.008984127268286436,0.0511100475400953,0.31816084840918935,0.031536102962589595,0.13154673462563085,0.238510527309259,0.0,0.09268277601155415,0.20562459033505376
Arthur Pym,0.009969665063948106,0.012989675030954972,0.06840875142514917,0.2748099952265249,0.027080347350639696,0.07945766728281002,0.13419861995340046,0.09268277601155415,0.0,0.22315774788877946
Patterson,0.008097369825933934,0.009371688626971552,0.03584545681828829,0.17171675394410374,0.006058246404450988,0.07780468349591461,0.061445277845699545,0.20562459033505376,0.22315774788877946,0.0
