,Len Guy,Halbrane,Jeorling,Hunt,Jane,Dirk Peters,William Guy,Grampus,Arthur Pym,Patterson
Len Guy,0.0,0.08136435946530154,0.026060385384867962,0.1731746698075052,0.02154851710979583,0.009135552210533538,0.03143881299354139,0.025698652425026426,0.012088338490123788,0.01013128835915772
Halbrane,0.08136435946530154,0.0,0.03157086827619955,0.26912909937887675,0.013868241287146386,0.011693337482609359,0.04019483993673603,0.010802845014906625,0.017044262906450166,0.011400884931290526
Jeorling,0.026060385384867962,0.03157086827619955,0.0,0.5154986273194817,0.16090085079928093,0.04055085355203829,0.14392693001801765,0.06105578897255096,0.08757229590847543,0.0460796934195901
Hunt,0.1731746698075052,0.26912909937887675,0.5154986273194817,0.0,0.45646951362185323,0.30632922023142806,0.18851582990374738,0.3468807997620578,0.28274780047599196,0.21559526500724838
Jane,0.02154851710979583,0.013868241287146386,0.16090085079928093,0.45646951362185323,0.0,0.1208442374758424,0.03882892920033725,0.03694840676850053,0.03194526463692423,0.007599428667030762
Dirk Peters,0.009135552210533538,0.011693337482609359,0.04055085355203829,0.30632922023142806,0.1208442374758424,0.0,0.5173746693603447,0.16277923437457537,0.09689311841127,0.09644429945233776
William Guy,0.03143881299354139,0.04019483993673603,0.14392693001801765,0.18851582990374738,0.03882892920033725,0.5173746693603447,0.0,0.2901054164130376,0.15622475310747336,0.077392286450814
Grampus,0.025698652425026426,0.010802845014906625,0.06105578897255096,0.3468807997620578,0.03694840676850053,0.16277923437457537,0.2901054164130376,0.0,0.12027571631619505,0.2518949213941048
Arthur Pym,0.012088338490123788,0.017044262906450166,0.08757229590847543,0.28274780047599196,0.03194526463692423,0.09689311841127,0.15622475310747336,0.12027571631619505,0.0,0.2663701853105758
Patterson,0.01013128835915772,0.011400884931290526,0.0460796934195901,0.21559526500724838,0.007599428667030762,0.09644429945233776,0.077392286450814,0.2518949213941048,0.2663701853105758,0.0
