,Fogg,Aouda,Passepartout,Phileas Fogg,Francis,Fix,John Bunsby,Francis Cromarty,Speedy,Ralph
Fogg,0.0,0.0034491478278460786,0.003459986885421278,0.003609727404926107,0.009646133162095831,0.005360180149965259,0.0035309598529779146,0.0028078560077936894,0.002622196136677561,0.0010573356882917875
Aouda,0.0034491478278460786,0.0,0.06168295032337966,0.03246817787260545,0.1643173121475603,0.013731643628871894,0.06568509348017287,0.05963075645417595,0.02115624176508639,0.05657018160911029
Passepartout,0.003459986885421278,0.06168295032337966,0.0,0.04485374283674011,0.22719480351021323,0.019410839342324848,0.16448865678077762,0.03781372525533226,0.034262231591724014,0.053788005827868794
Phileas Fogg,0.003609727404926107,0.03246817787260545,0.04485374283674011,0.0,0.36452351000284555,0.13338763385477803,0.1204633112138562,0.07071744563958826,0.10449256961247003,0.040773303308339115
Francis,0.009646133162095831,0.1643173121475603,0.22719480351021323,0.36452351000284555,0.0,0.44424813741226077,0.873521993422336,0.00794344760398949,0.40047333285421105,0.6952488495621477
Fix,0.005360180149965259,0.013731643628871894,0.019410839342324848,0.13338763385477803,0.44424813741226077,0.0,0.47785257408427767,0.2727133890712216,0.14823044183056638,0.2472455915308609
John Bunsby,0.0035309598529779146,0.06568509348017287,0.16448865678077762,0.1204633112138562,0.873521993422336,0.47785257408427767,0.0,0.9915185380383137,1.6460474410879267,0.2955487365328537
Francis Cromarty,0.0028078560077936894,0.05963075645417595,0.03781372525533226,0.07071744563958826,0.00794344760398949,0.2727133890712216,0.9915185380383137,0.0,0.6545289030496132,0.7728492311176832
Speedy,0.002622196136677561,0.02115624176508639,0.034262231591724014,0.10449256961247003,0.40047333285421105,0.14823044183056638,1.6460474410879267,0.6545289030496132,0.0,1.379620535179551
Ralph,0.0010573356882917875,0.05657018160911029,0.053788005827868794,0.040773303308339115,0.6952488495621477,0.2472455915308609,0.2955487365328537,0.7728492311176832,1.379620535179551,0.0
