,Fogg,Aouda,Passepartout,Phileas Fogg,Francis,Fix,John Bunsby,Francis Cromarty,Speedy,Ralph
Fogg,0.0,0.0030137452013692893,0.003177140336281223,0.003664180415213035,0.008553166994588506,0.005048758807676464,0.004410241882460245,0.002492342322988839,0.0022299396916006242,0.001094767834075815
Aouda,0.0030137452013692893,0.0,0.05624416348189027,0.03145638215346258,0.1448178234738952,0.012587955236787105,0.07041345889061525,0.05376579814073736,0.017979583698863766,0.05790885977756063
Passepartout,0.003177140336281223,0.05624416348189027,0.0,0.04332523548296641,0.19854558937913128,0.017876571698824197,0.17553686748548167,0.03377220624217156,0.029051263051332356,0.05503535536366083
Phileas Fogg,0.003664180415213035,0.03145638215346258,0.04332523548296641,0.0,0.3274481556167882,0.12169816375605999,0.12870807485805486,0.06293267194882578,0.08849594340634485,0.041239619732741914
Francis,0.008553166994588506,0.1448178234738952,0.19854558937913128,0.3274481556167882,0.0,0.393649372969589,0.8525085260541168,0.007051681830580979,0.34470879001054294,0.6567718408704251
Fix,0.005048758807676464,0.012587955236787105,0.017876571698824197,0.12169816375605999,0.393649372969589,0.0,0.48637979369626105,0.242086495819045,0.12518638137807386,0.24514303514858554
John Bunsby,0.004410241882460245,0.07041345889061525,0.17553686748548167,0.12870807485805486,0.8525085260541168,0.48637979369626105,0.0,0.9524813916688426,1.5223861779599475,0.287980552899035
Francis Cromarty,0.002492342322988839,0.05376579814073736,0.03377220624217156,0.06293267194882578,0.007051681830580979,0.242086495819045,0.9524813916688426,0.0,0.5699047862911043,0.7260957083573638
Speedy,0.0022299396916006242,0.017979583698863766,0.029051263051332356,0.08849594340634485,0.34470879001054294,0.12518638137807386,1.5223861779599475,0.5699047862911043,0.0,1.2560212962745885
Ralph,0.001094767834075815,0.05790885977756063,0.05503535536366083,0.041239619732741914,0.6567718408704251,0.24514303514858554,0.287980552899035,0.7260957083573638,1.2560212962745885,0.0
