,Fogg,Aouda,Passepartout,Phileas Fogg,Francis,Fix,John Bunsby,Francis Cromarty,Speedy,Ralph
Fogg,0.0,0.00391978449700515,0.0037515046734720066,0.0036369819592918825,0.010771156282774868,0.005646521940611363,0.0028248574918219287,0.0031325913046253524,0.003052652322194001,0.0010114592789828166
Aouda,0.00391978449700515,0.0,0.06710222833836985,0.033465290444004224,0.18461273216145505,0.0148771957045877,0.06098381928037333,0.06548081519298807,0.024645466775250924,0.054831394178411756
Passepartout,0.0037515046734720066,0.06710222833836985,0.0,0.046601485067532686,0.2574447705750356,0.020929452815777266,0.15335248107294794,0.04192169244722136,0.040004363912829154,0.05219663612333152
Phileas Fogg,0.0036369819592918825,0.033465290444004224,0.046601485067532686,0.0,0.4027438922074424,0.14522975069075306,0.11202615179977386,0.07868565272811291,0.12215160630579683,0.04001821015934761
Francis,0.010771156282774868,0.18461273216145505,0.2574447705750356,0.4027438922074424,0.0,0.4971719762280643,0.8901148842227818,0.008860266766995268,0.46063708537125064,0.7303200723424121
Fix,0.005646521940611363,0.0148771957045877,0.020929452815777266,0.14522975069075306,0.4971719762280643,0.0,0.4666547027167837,0.30443712065731393,0.17376683429898296,0.24702631128501581
John Bunsby,0.0028248574918219287,0.06098381928037333,0.15335248107294794,0.11202615179977386,0.8901148842227818,0.4666547027167837,0.0,1.0262032836069839,1.7706170754933723,0.30351439063771374
Francis Cromarty,0.0031325913046253524,0.06548081519298807,0.04192169244722136,0.07868565272811291,0.008860266766995268,0.30443712065731393,1.0262032836069839,0.0,0.7444137918863886,0.8163227048061826
Speedy,0.003052652322194001,0.024645466775250924,0.040004363912829154,0.12215160630579683,0.46063708537125064,0.17376683429898296,1.7706170754933723,0.7444137918863886,0.0,1.5043184493169364
Ralph,0.0010114592789828166,0.054831394178411756,0.05219663612333152,0.04001821015934761,0.7303200723424121,0.24702631128501581,0.30351439063771374,0.8163227048061826,1.5043184493169364,0.0
