,Smith,Wilkins,Faithburn,Fritz,Cooley,John,Jackson,Napoleon Smith,Fritz Napoleon Smith's,Peer
Smith,0.0,0.024150938046718973,0.011046575364877704,0.023758848114548453,0.010153931819585644,0.007985469644239332,0.008250652832584082,0.03411254258366697,0.017935316115304745,0.004792738416758202
Wilkins,0.024150938046718973,0.0,0.047601722669494924,0.5318895660766929,0.016099050100914985,1.1669926918061557,1.00475564295474,0.7813478276209795,0.9153909163716052,0.01778602106981153
Faithburn,0.011046575364877704,0.047601722669494924,0.0,0.49637814032075933,0.020706455449698513,1.1239335251578928,0.9090868245788315,0.6856790092450711,0.8197220979956967,0.025787215567371624
Fritz,0.023758848114548453,0.5318895660766929,0.49637814032075933,0.0,0.4445932817182925,0.4764331867965524,0.2226735560473063,0.0007342592864540975,0.1478330824327445,0.344081389654176
Cooley,0.010153931819585644,0.016099050100914985,0.020706455449698513,0.4445932817182925,0.0,1.2841642598049503,1.1053913832542965,0.8819835679205361,1.0160266566711618,0.01871329504477215
John,0.007985469644239332,1.1669926918061557,1.1239335251578928,0.4764331867965524,1.2841642598049503,0.0,0.1828600581167603,0.30327724932600775,0.1692341605753822,1.1933852771431894
Jackson,0.008250652832584082,1.00475564295474,0.9090868245788315,0.2226735560473063,1.1053913832542965,0.1828600581167603,0.0,0.2234078153337604,0.25128793191265497,1.113515843150942
Napoleon Smith,0.03411254258366697,0.7813478276209795,0.6856790092450711,0.0007342592864540975,0.8819835679205361,0.30327724932600775,0.2234078153337604,0.0,0.14781526150055657,0.8901080278171816
Fritz Napoleon Smith's,0.017935316115304745,0.9153909163716052,0.8197220979956967,0.1478330824327445,1.0160266566711618,0.1692341605753822,0.25128793191265497,0.14781526150055657,0.0,1.0241511165678072
Peer,0.004792738416758202,0.01778602106981153,0.025787215567371624,0.344081389654176,0.01871329504477215,1.1933852771431894,1.113515843150942,0.8901080278171816,1.0241511165678072,0.0
