,Herbert,Harding,Neb,Cyrus Harding,Ayrton,Gideon Spilett,Pencroft,Spilett,Jup,Duncan
Herbert,0.0,0.03151542860102426,0.008514801839535447,0.010470387422187134,0.051073711806664535,0.0026315104628742312,0.0036042764419511233,0.0016210768814999403,0.012227769740920977,0.011798489756809773
Harding,0.03151542860102426,0.0,0.013703833716983598,0.011695117701057996,0.04132120994357501,0.008421046405715841,0.015348722920611672,0.009556704382024384,0.006860474946925414,0.00896820960897934
Neb,0.008514801839535447,0.013703833716983598,0.0,0.06873356614419812,0.12948882146279145,0.01315285023125968,0.015537147755806752,0.0074515628218672185,0.0083847953106506,0.0088437343158279
Cyrus Harding,0.010470387422187134,0.011695117701057996,0.06873356614419812,0.0,0.17432218141168956,0.053470802725433836,0.08756484620658045,0.02396605617805529,0.049283493339846336,0.01353700894282977
Ayrton,0.051073711806664535,0.04132120994357501,0.12948882146279145,0.17432218141168956,0.0,0.12963965482569761,0.16329290440179123,0.11083179467020954,0.15399872245289045,0.0019926027741022766
Gideon Spilett,0.0026315104628742312,0.008421046405715841,0.01315285023125968,0.053470802725433836,0.12963965482569761,0.0,0.06264701480270851,0.011007197541666732,0.02556616003156293,0.02739925058174019
Pencroft,0.0036042764419511233,0.015348722920611672,0.015537147755806752,0.08756484620658045,0.16329290440179123,0.06264701480270851,0.0,0.024584112114208165,0.026442266143122853,0.022282218141168965
Spilett,0.0016210768814999403,0.009556704382024384,0.0074515628218672185,0.02396605617805529,0.11083179467020954,0.011007197541666732,0.024584112114208165,0.0,0.06583134499408197,0.04030689647305745
Jup,0.012227769740920977,0.006860474946925414,0.0083847953106506,0.049283493339846336,0.15399872245289045,0.02556616003156293,0.026442266143122853,0.06583134499408197,0.0,0.334472099283661
Duncan,0.011798489756809773,0.00896820960897934,0.0088437343158279,0.01353700894282977,0.0019926027741022766,0.02739925058174019,0.022282218141168965,0.04030689647305745,0.334472099283661,0.0
