,Herbert,Harding,Neb,Cyrus Harding,Ayrton,Gideon Spilett,Pencroft,Spilett,Jup,Duncan
Herbert,0.0,0.02856362103458049,0.008386560247793825,0.008998498265485265,0.045785154850663784,0.0025707588535364132,0.003328368775336871,0.0014905074337508593,0.012470510877856958,0.011187171856803218
Harding,0.02856362103458049,0.0,0.012512081233915479,0.010041379562540245,0.037084082604657384,0.008043123105537776,0.015347596827352292,0.009227304842749638,0.006952780488333906,0.008444863194168734
Neb,0.008386560247793825,0.012512081233915479,0.0,0.05888138215575663,0.11467922487489697,0.012395472231328305,0.015328211935808158,0.007221685467506444,0.007602869642835077,0.008390228023019667
Cyrus Harding,0.008998498265485265,0.010041379562540245,0.05888138215575663,0.0,0.15335536733398394,0.051083362673885,0.08448047955293492,0.02379711841645424,0.05125496682871557,0.012809225556683733
Ayrton,0.045785154850663784,0.037084082604657384,0.11467922487489697,0.15335536733398394,0.0,0.12375800730732342,0.1569770539723589,0.10784361060551981,0.15479338126416425,0.0018900618640941358
Gideon Spilett,0.0025707588535364132,0.008043123105537776,0.012395472231328305,0.051083362673885,0.12375800730732342,0.0,0.059206090651795565,0.010443226490205324,0.025737041696669644,0.026072798347260298
Pencroft,0.003328368775336871,0.015347596827352292,0.015328211935808158,0.08448047955293492,0.1569770539723589,0.059206090651795565,0.0,0.021808010544299986,0.025066130076556642,0.021250267327560846
Spilett,0.0014905074337508593,0.009227304842749638,0.007221685467506444,0.02379711841645424,0.10784361060551981,0.010443226490205324,0.021808010544299986,0.0,0.061760016712356536,0.037935827209134756
Jup,0.012470510877856958,0.006952780488333906,0.007602869642835077,0.05125496682871557,0.15479338126416425,0.025737041696669644,0.025066130076556642,0.061760016712356536,0.0,0.31066695638208836
Duncan,0.011187171856803218,0.008444863194168734,0.008390228023019667,0.012809225556683733,0.0018900618640941358,0.026072798347260298,0.021250267327560846,0.037935827209134756,0.31066695638208836,0.0
