,Herbert,Harding,Neb,Cyrus Harding,Ayrton,Gideon Spilett,Pencroft,Spilett,Jup,Duncan
Herbert,0.0,0.034682107800133734,0.008650026394158183,0.012093472658273928,0.05644793266506322,0.002715541426399443,0.0038905699157998604,0.0017593117448862258,0.012036149771647103,0.012324914791448559
Harding,0.034682107800133734,0.0,0.014978519283879863,0.013529662768728568,0.04562691761555139,0.008810315824643068,0.01528201977204358,0.009867858422218847,0.006794345137504791,0.009441482654235066
Neb,0.008650026394158183,0.014978519283879863,0.0,0.07953528527030537,0.144865972215029,0.013966158829659375,0.01567642176643518,0.007681747477701343,0.00927061915545004,0.00923417539737335
Cyrus Harding,0.012093472658273928,0.013529662768728568,0.07953528527030537,0.0,0.19645154456652103,0.05581825244463087,0.09012557046098262,0.024003159254683964,0.04709460466130011,0.014169256729654314
Ayrton,0.05644793266506322,0.04562691761555139,0.144865972215029,0.19645154456652103,0.0,0.1351567799064442,0.1687067397896786,0.11318336723717809,0.1522678619008822,0.0020825358120682125
Gideon Spilett,0.002715541426399443,0.008810315824643068,0.013966158829659375,0.05581825244463087,0.1351567799064442,0.0,0.06591829027171547,0.011548781562532104,0.0255999024453675,0.02851236390681034
Pencroft,0.0038905699157998604,0.01528201977204358,0.01567642176643518,0.09012557046098262,0.1687067397896786,0.06591829027171547,0.0,0.02755859483263923,0.02805941575495178,0.023137811438152748
Spilett,0.0017593117448862258,0.009867858422218847,0.007681747477701343,0.024003159254683964,0.11318336723717809,0.011548781562532104,0.02755859483263923,0.0,0.07042449957035805,0.04242208798060775
Jup,0.012036149771647103,0.006794345137504791,0.00927061915545004,0.04709460466130011,0.1522678619008822,0.0255999024453675,0.02805941575495178,0.07042449957035805,0.0,0.35766202508452166
Duncan,0.012324914791448559,0.009441482654235066,0.00923417539737335,0.014169256729654314,0.0020825358120682125,0.02851236390681034,0.023137811438152748,0.04242208798060775,0.35766202508452166,0.0
