,Nemo,Ned Land,Captain Nemo,Ned,Conseil,M. Aronnax,Abraham Lincoln,Captain,Ned Land’s,Farragut
Nemo,0.0,0.15115562899643858,0.037506279773273525,0.051546233128683325,0.025783722565057243,0.009779644637671066,0.1059776259698982,0.005310408625727591,0.009011503759945388,0.026409876791378503
Ned Land,0.15115562899643858,0.0,0.06998462756649285,0.011606539885490732,0.012549786904134894,0.0183434095615035,0.011866833025741725,0.00916675317874011,0.0035152398062721535,0.015135755627307306
Captain Nemo,0.037506279773273525,0.06998462756649285,0.0,0.049894910083988,0.023790214062829586,0.00645559730090943,0.09462793005183967,0.007097075803752297,0.008699257362728486,0.01797577617860852
Ned,0.051546233128683325,0.011606539885490732,0.049894910083988,0.0,0.02618441381629643,0.028345322694442232,0.055460870284095444,0.028961927854881893,0.006232458870239563,0.04663783224768945
Conseil,0.025783722565057243,0.012549786904134894,0.023790214062829586,0.02618441381629643,0.0,0.049943426409252444,0.23637867067555848,0.02724006207709647,0.014340993847551,0.10415171991512338
M. Aronnax,0.009779644637671066,0.0183434095615035,0.00645559730090943,0.028345322694442232,0.049943426409252444,0.0,0.5935795520971728,0.04784789921134053,0.03311058717909019,0.11959495157417808
Abraham Lincoln,0.1059776259698982,0.011866833025741725,0.09462793005183967,0.055460870284095444,0.23637867067555848,0.5935795520971728,0.0,0.3621588255870313,0.16654890318906965,0.002268710247151213
Captain,0.005310408625727591,0.00916675317874011,0.007097075803752297,0.028961927854881893,0.02724006207709647,0.04784789921134053,0.3621588255870313,0.0,0.11131765901446515,0.15239437867690087
Ned Land’s,0.009011503759945388,0.0035152398062721535,0.008699257362728486,0.006232458870239563,0.014340993847551,0.03311058717909019,0.16654890318906965,0.11131765901446515,0.0,0.3034953743041289
Farragut,0.026409876791378503,0.015135755627307306,0.01797577617860852,0.04663783224768945,0.10415171991512338,0.11959495157417808,0.002268710247151213,0.15239437867690087,0.3034953743041289,0.0
