,Nemo,Ned Land,Captain Nemo,Ned,Conseil,M. Aronnax,Abraham Lincoln,Captain,Ned Land’s,Farragut
Nemo,0.0,0.1386265870359214,0.034695888327401204,0.0491665729245903,0.024406346803381794,0.00909894641580118,0.10280486469139848,0.005110949239403913,0.008576685185654801,0.02750450352792515
Ned Land,0.1386265870359214,0.0,0.0620806995535019,0.010714667762019027,0.011810316971103888,0.016594802442912122,0.011934543912891908,0.008371264869103442,0.003294370696206222,0.015826062359349753
Captain Nemo,0.034695888327401204,0.0620806995535019,0.0,0.046298376853322255,0.02282794529297244,0.005870797853988455,0.09209608620750932,0.006850824816776924,0.008182085783131355,0.018594084983318365
Ned,0.0491665729245903,0.010714667762019027,0.046298376853322255,0.0,0.024780799130885652,0.02568912608885723,0.05500350578204043,0.02794731194232119,0.005773875466872983,0.04864695006703387
Conseil,0.024406346803381794,0.011810316971103888,0.02282794529297244,0.024780799130885652,0.0,0.04537880998904502,0.22658296286849705,0.02577686705991049,0.013803745922327382,0.10446385875805154
M. Aronnax,0.00909894641580118,0.016594802442912122,0.005870797853988455,0.02568912608885723,0.04537880998904502,0.0,0.546649152954716,0.04578321391176494,0.030523250528656863,0.12109415647523288
Abraham Lincoln,0.10280486469139848,0.011934543912891908,0.09209608620750932,0.05500350578204043,0.22658296286849705,0.546649152954716,0.0,0.32915126944299566,0.14829149732108837,0.002350242988059894
Captain,0.005110949239403913,0.008371264869103442,0.006850824816776924,0.02794731194232119,0.02577686705991049,0.04578321391176494,0.32915126944299566,0.0,0.10319663985993953,0.15180990792670054
Ned Land’s,0.008576685185654801,0.003294370696206222,0.008182085783131355,0.005773875466872983,0.013803745922327382,0.030523250528656863,0.14829149732108837,0.10319663985993953,0.0,0.2965315474446352
Farragut,0.02750450352792515,0.015826062359349753,0.018594084983318365,0.04864695006703387,0.10446385875805154,0.12109415647523288,0.002350242988059894,0.15180990792670054,0.2965315474446352,0.0
