,Jacob,Flanders,Durrant,Clara,Jarvis,Sandra,Archer,Bowley,Cruttendon,Floyd
Jacob,0.0,0.00788124450201299,0.012590372135637866,0.00792448602531823,0.01386158848665799,0.004370513601551373,0.007762483727189299,0.009904808343259568,0.014393075099199099,0.008327993656533174
Flanders,0.00788124450201299,0.0,0.7277401465768291,0.8360293876299616,0.055178694823314806,0.5935969334857935,0.011529587582056619,0.46043254882792645,0.14030067223613335,0.06970844471366244
Durrant,0.012590372135637866,0.7277401465768291,0.0,0.20014757078046022,0.32770330056644537,0.16642164266545467,0.8563439860650002,0.19677700176755258,0.3008264117700098,0.7446988068999979
Clara,0.00792448602531823,0.8360293876299616,0.20014757078046022,0.0,0.9051324704901145,0.16040993825953062,1.4727696882386079,0.248182252209631,0.8247522129548143,1.3500593826437837
Jarvis,0.01386158848665799,0.055178694823314806,0.32770330056644537,0.9051324704901145,0.0,0.7859509241055564,0.5229677738207493,0.6612637883636686,0.19291547962534694,0.38086729613200715
Sandra,0.004370513601551373,0.5935969334857935,0.16642164266545467,0.16040993825953062,0.7859509241055564,0.0,1.3562487470496432,0.3479492502439497,0.7325438108061636,1.2711007467674704
Archer,0.007762483727189299,0.011529587582056619,0.8563439860650002,1.4727696882386079,0.5229677738207493,1.3562487470496432,0.0,1.293772246691111,0.6639574365094755,0.14040430811694316
Bowley,0.009904808343259568,0.46043254882792645,0.19677700176755258,0.248182252209631,0.6612637883636686,0.3479492502439497,1.293772246691111,0.0,1.0126619205224383,1.3307171077391793
Cruttendon,0.014393075099199099,0.14030067223613335,0.3008264117700098,0.8247522129548143,0.19291547962534694,0.7325438108061636,0.6639574365094755,1.0126619205224383,0.0,0.5491139057947693
Floyd,0.008327993656533174,0.06970844471366244,0.7446988068999979,1.3500593826437837,0.38086729613200715,1.2711007467674704,0.14040430811694316,1.3307171077391793,0.5491139057947693,0.0
