,Castalia,Hilda,Jane,Shakespeare,Hobkin,Sappho,Eleanor,Bob,James Moggridge,Cassandra
Castalia,0.0,0.5280410152162865,0.059859010194015155,0.2385728378822755,0.05861558697796774,0.08234955606708319,0.08912364353830975,0.4942144853666557,0.506484297928313,0.039474405349117614
Hilda,0.5280410152162865,0.0,0.5647299408089445,0.2164090759618547,0.4189740217033871,0.4535514633344296,0.6417050312397239,0.01285555738243993,0.14619985202236108,0.3969363148087252
Jane,0.059859010194015155,0.5647299408089445,0.0,0.3890989805984873,0.10886221637619212,0.11698454455771128,0.1082538638605722,0.8080914995067412,0.543232078263729,0.14003069165844578
Shakespeare,0.2385728378822755,0.2164090759618547,0.3890989805984873,0.0,0.5102926668858928,0.5675600131535679,0.4819631700098652,0.33561122985859915,0.9708463498849063,0.23174942453140407
Hobkin,0.05861558697796774,0.4189740217033871,0.10886221637619212,0.5102926668858928,0.0,0.0572673462676751,0.24536336731338376,0.8845877178559685,0.6279595527786912,0.12935711936862881
Sappho,0.08234955606708319,0.4535514633344296,0.11698454455771128,0.5675600131535679,0.0572673462676751,0.0,0.21481420585333771,0.9555964320947057,0.6125246629398224,0.21881508275786482
Eleanor,0.08912364353830975,0.6417050312397239,0.1082538638605722,0.4819631700098652,0.24536336731338376,0.21481420585333771,0.0,0.7678395264715554,0.8790488326208485,0.2367642222952977
Bob,0.4942144853666557,0.01285555738243993,0.8080914995067412,0.33561122985859915,0.8845877178559685,0.9555964320947057,0.7678395264715554,0.0,1.6787343801381125,0.6186424421791077
James Moggridge,0.506484297928313,0.14619985202236108,0.543232078263729,0.9708463498849063,0.6279595527786912,0.6125246629398224,0.8790488326208485,1.6787343801381125,0.0,0.9896963718075196
Cassandra,0.039474405349117614,0.3969363148087252,0.14003069165844578,0.23174942453140407,0.12935711936862881,0.21881508275786482,0.2367642222952977,0.6186424421791077,0.9896963718075196,0.0
