,Castalia,Hilda,Jane,Shakespeare,Hobkin,Sappho,Eleanor,Bob,James Moggridge,Cassandra
Castalia,0.0,0.47592124784995093,0.056454791718610786,0.2153437330728719,0.05357243382171058,0.07589664144074035,0.08030003661221867,0.4269446410841979,0.5182010427414825,0.0348718930343714
Hilda,0.47592124784995093,0.0,0.5155463925109387,0.18828997545888468,0.3866391295102298,0.41674657281938693,0.5795174947902847,0.01092831789019233,0.16134722821982023,0.3564225244871601
Jane,0.056454791718610786,0.5155463925109387,0.0,0.3449203461603656,0.1005301820890705,0.10856761471537998,0.09838647724253723,0.707115549603546,0.5496497582814898,0.12406701721427209
Shakespeare,0.2153437330728719,0.18828997545888468,0.3449203461603656,0.0,0.461531011954213,0.5130932658696828,0.43432103427561086,0.29028087905082856,0.9303779016461511,0.20594300440765484
Hobkin,0.05357243382171058,0.3866391295102298,0.1005301820890705,0.461531011954213,0.0,0.05156225391546984,0.2250497565797194,0.779388622032839,0.6305073708359343,0.11596371333306225
Sappho,0.07589664144074035,0.41674657281938693,0.10856761471537998,0.5130932658696828,0.05156225391546984,0.0,0.1985557281248353,0.8432952640775686,0.616002897928607,0.1962279496505682
Eleanor,0.08030003661221867,0.5795174947902847,0.09838647724253723,0.43432103427561086,0.2250497565797194,0.1985557281248353,0.0,0.6699652892532515,0.8624095794088832,0.21193945034287134
Bob,0.4269446410841979,0.01092831789019233,0.707115549603546,0.29028087905082856,0.779388622032839,0.8432952640775686,0.6699652892532515,0.0,1.561108805829352,0.5415967482087353
James Moggridge,0.5182010427414825,0.16134722821982023,0.5496497582814898,0.9303779016461511,0.6305073708359343,0.616002897928607,0.8624095794088832,1.561108805829352,0.0,0.9516374627394512
Cassandra,0.0348718930343714,0.3564225244871601,0.12406701721427209,0.20594300440765484,0.11596371333306225,0.1962279496505682,0.21193945034287134,0.5415967482087353,0.9516374627394512,0.0
