,Castalia,Hilda,Jane,Shakespeare,Hobkin,Sappho,Eleanor,Bob,James Moggridge,Cassandra
Castalia,0.0,0.5820865911963606,0.06298849495563386,0.26260825830817974,0.06354539450832448,0.08851323662088913,0.09793467568208847,0.5664340052463457,0.49242186301336854,0.044247629643442976
Hilda,0.5820865911963606,0.0,0.6145581491305422,0.24634607349426615,0.45120257758831106,0.4904556982347136,0.7049811963226625,0.014971792759056135,0.13183207670628552,0.4388500242465185
Jane,0.06298849495563386,0.6145581491305422,0.0,0.4350010718943687,0.11677684384231647,0.1248446840629299,0.1179343528252092,0.9146262558475546,0.5344343319396703,0.15648481689177396
Shakespeare,0.26260825830817974,0.24634607349426615,0.4350010718943687,0.0,0.5596971797402833,0.6227065333934708,0.5306018374546151,0.38422420264300644,1.009801866166641,0.2583553107582986
Hobkin,0.06354539450832448,0.45120257758831106,0.11677684384231647,0.5596971797402833,0.0,0.06300935365318759,0.2649339984177845,0.9946977970270334,0.6225542694679134,0.14293658629495332
Sappho,0.08851323662088913,0.4904556982347136,0.1248446840629299,0.6227065333934708,0.06300935365318759,0.0,0.23012674785611395,1.0728592194764572,0.606288851428046,0.24169552967595373
Eleanor,0.09793467568208847,0.7049811963226625,0.1179343528252092,0.5306018374546151,0.2649339984177845,0.23012674785611395,0.0,0.8714645671046011,0.8917466739074675,0.2619291811757576
Bob,0.5664340052463457,0.014971792759056135,0.9146262558475546,0.38422420264300644,0.9946977970270334,1.0728592194764572,0.8714645671046011,0.0,1.7981539516724299,0.6999306876959023
James Moggridge,0.49242186301336854,0.13183207670628552,0.5344343319396703,1.009801866166641,0.6225542694679134,0.606288851428046,0.8917466739074675,1.7981539516724299,0.0,1.024084082475471
Cassandra,0.044247629643442976,0.4388500242465185,0.15648481689177396,0.2583553107582986,0.14293658629495332,0.24169552967595373,0.2619291811757576,0.6999306876959023,1.024084082475471,0.0
