,Brown,Bennett,Hilda,Wells,Galsworthy,Smith,Strachey,Eliot,Waterloo,Skellorn
Brown,0.0,0.21952560722587086,0.2756969252609083,0.05677234728137186,0.05490209333243198,0.01755334730390501,0.1791725816264449,0.1873352261204624,0.024842831068748655,0.13270634759683636
Bennett,0.21952560722587086,0.0,0.12408155624541753,0.08562608440929265,0.04369183622884701,0.35820996417224366,0.01929121881971202,0.031281687284526516,0.013207260190630704,0.010418779152301771
Hilda,0.2756969252609083,0.12408155624541753,0.0,1.1625881610671716,1.0957322156876,0.6079677324860857,0.9354086392212534,0.831727844250659,0.6180794970594201,0.022054350030419785
Wells,0.05677234728137186,0.08562608440929265,1.1625881610671716,0.0,0.08673021023457037,0.7441470064670227,0.08345163252889876,0.18860271750152088,0.10634252687081736,0.7203914013384709
Galsworthy,0.05490209333243198,0.04369183622884701,1.0957322156876,0.08673021023457037,0.0,0.676299601162712,0.08444027580612451,0.15623098762928408,0.08228554045832488,0.6072551206651795
Smith,0.01755334730390501,0.35820996417224366,0.6079677324860857,0.7441470064670227,0.676299601162712,0.0,0.6051003853173799,0.49994930034475776,0.3726678158588522,0.6536960048671668
Strachey,0.1791725816264449,0.01929121881971202,0.9354086392212534,0.08345163252889876,0.08444027580612451,0.6051003853173799,0.0,0.10515108497262213,0.5194179679578179,1.1592222672885821
Eliot,0.1873352261204624,0.031281687284526516,0.831727844250659,0.18860271750152088,0.15623098762928408,0.49994930034475776,0.10515108497262213,0.0,0.4944230379233422,1.0555414723179883
Waterloo,0.024842831068748655,0.013207260190630704,0.6180794970594201,0.10634252687081736,0.08228554045832488,0.3726678158588522,0.5194179679578179,0.4944230379233422,0.0,0.8741381058608801
Skellorn,0.13270634759683636,0.010418779152301771,0.022054350030419785,0.7203914013384709,0.6072551206651795,0.6536960048671668,1.1592222672885821,1.0555414723179883,0.8741381058608801,0.0
