,Brown,Bennett,Hilda,Wells,Galsworthy,Smith,Strachey,Eliot,Waterloo,Skellorn
Brown,0.0,0.2065400265428835,0.26779030666014775,0.054258307738667085,0.052770431338910136,0.015765183760106754,0.16408902097866357,0.1726172646103139,0.023303243072014923,0.14536143193100864
Bennett,0.2065400265428835,0.0,0.11854360534749456,0.07218834517675068,0.03686162415737121,0.3185558537236709,0.016744815642450242,0.026968560251765736,0.011917140959170874,0.010602697947929667
Hilda,0.26779030666014775,0.11854360534749456,0.0,1.0401503129977316,0.9830162172371933,0.567544869361578,0.8334728453854445,0.7453570974871147,0.5561164948899042,0.023269286554716717
Wells,0.054258307738667085,0.07218834517675068,1.0401503129977316,0.0,0.07389996162337165,0.6517297785617138,0.070944952193475,0.16057761976625706,0.10175502688809447,0.668806288550146
Galsworthy,0.052770431338910136,0.03686162415737121,0.9830162172371933,0.07389996162337165,0.0,0.5936026605804533,0.07164375701097934,0.1341338179698217,0.08053868083626835,0.5718124107142739
Smith,0.015765183760106754,0.3185558537236709,0.567544869361578,0.6517297785617138,0.5936026605804533,0.0,0.5375467522825241,0.44791408470974203,0.3308805477237019,0.62647294680337
Strachey,0.16408902097866357,0.016744815642450242,0.8334728453854445,0.070944952193475,0.07164375701097934,0.5375467522825241,0.0,0.08963266757278204,0.46302324208092144,1.0548483923878607
Eliot,0.1726172646103139,0.026968560251765736,0.7453570974871147,0.16057761976625706,0.1341338179698217,0.44791408470974203,0.08963266757278204,0.0,0.4415098020727033,0.9667326444895308
Waterloo,0.023303243072014923,0.011917140959170874,0.5561164948899042,0.10175502688809447,0.08053868083626835,0.3308805477237019,0.46302324208092144,0.4415098020727033,0.0,0.8102341664252197
Skellorn,0.14536143193100864,0.010602697947929667,0.023269286554716717,0.668806288550146,0.5718124107142739,0.62647294680337,1.0548483923878607,0.9667326444895308,0.8102341664252197,0.0
