,Clarissa,Dick,Mrs Dalloway,Ben,Hugh Whitbread,Dighton,Hugh,Queen,Shakespeare,H. M.'s
Clarissa,0.0,0.19738912584233378,0.2775710586210267,0.46431175845008044,0.09772209716404176,0.16294684216972394,0.021188903372296564,0.11755219712631326,0.09206036725127065,0.4400989529271673
Dick,0.19738912584233378,0.0,0.5653425793541824,0.7520832791832361,0.38549361789719744,0.21232516794668563,0.12080223314212218,0.18289952396372128,0.06721446540289744,0.4315227604689804
Mrs Dalloway,0.2775710586210267,0.5653425793541824,0.0,0.20094139137385522,0.17984896145698492,0.770662982135575,0.10682494479204002,0.36355162002949415,1.1232597062209067,0.17160268960713573
Ben,0.46431175845008044,0.7520832791832361,0.20094139137385522,0.0,0.36658966128603865,0.9574036819646288,0.3975865131942217,0.654313188431676,1.4140212746230882,0.021223968516425135
Hugh Whitbread,0.09772209716404176,0.38549361789719744,0.17984896145698492,0.36658966128603865,0.0,0.5908140206785901,0.08907630856193466,0.3458029837993888,1.1055110699908015,0.3324469223036083
Dighton,0.16294684216972394,0.21232516794668563,0.770662982135575,0.9574036819646288,0.5908140206785901,0.0,0.46461990505931017,0.20789322982185604,0.5256705822397375,0.9452080088372509
Hugh,0.021188903372296564,0.12080223314212218,0.10682494479204002,0.3975865131942217,0.08907630856193466,0.46461990505931017,0.0,0.2567266752374541,1.016434761428867,0.47910500530505296
Queen,0.11755219712631326,0.18289952396372128,0.36355162002949415,0.654313188431676,0.3458029837993888,0.20789322982185604,0.2567266752374541,0.0,0.7597080861914126,0.6935723742712693
Shakespeare,0.09206036725127065,0.06721446540289744,1.1232597062209067,1.4140212746230882,1.1055110699908015,0.5256705822397375,1.016434761428867,0.7597080861914126,0.0,1.489166690621965
H. M.'s,0.4400989529271673,0.4315227604689804,0.17160268960713573,0.021223968516425135,0.3324469223036083,0.9452080088372509,0.47910500530505296,0.6935723742712693,1.489166690621965,0.0
