,Clarissa,Dick,Mrs Dalloway,Ben,Hugh Whitbread,Dighton,Hugh,Queen,Shakespeare,H. M.'s
Clarissa,0.0,0.259682710951711,0.26382915527047035,0.45145755301976087,0.10678704876475043,0.1965136835195714,0.023735898973979763,0.13916607711722467,0.1272900949992617,0.43241888353755426
Dick,0.259682710951711,0.0,0.610438353317433,0.7980667510667236,0.4533962468117131,0.26809837425484156,0.13850914609005138,0.23031312874820414,0.09151883109206038,0.4230361472719078
Mrs Dalloway,0.26382915527047035,0.610438353317433,0.0,0.19366570105664704,0.1570421065057199,0.8508121702092989,0.11719510066295394,0.4158316234653152,1.3981448144404491,0.11598940825335241
Ben,0.45145755301976087,0.7980667510667236,0.19366570105664704,0.0,0.3446705042550105,1.0384405679585893,0.40316567476740717,0.7018021975697684,1.6841153885449023,0.017284461752114122
Hugh Whitbread,0.10678704876475043,0.4533962468117131,0.1570421065057199,0.3446705042550105,0.0,0.693770063703579,0.09806631731695051,0.3967028401193118,1.3790160310944457,0.3168793445718005
Dighton,0.1965136835195714,0.26809837425484156,0.8508121702092989,1.0384405679585893,0.693770063703579,0.0,0.5538223878496893,0.255185865047328,0.6942106798610591,1.028578833215764
Hugh,0.023735898973979763,0.13850914609005138,0.11719510066295394,0.40316567476740717,0.09806631731695051,0.5538223878496893,0.0,0.2986365228023613,1.2809497137774952,0.47545802573681456
Queen,0.13916607711722467,0.23031312874820414,0.4158316234653152,0.7018021975697684,0.3967028401193118,0.255185865047328,0.2986365228023613,0.0,0.9823131909751339,0.7217850264158117
Shakespeare,0.1272900949992617,0.09151883109206038,1.3981448144404491,1.6841153885449023,1.3790160310944457,0.6942106798610591,1.2809497137774952,0.9823131909751339,0.0,1.7429573773942062
H. M.'s,0.43241888353755426,0.4230361472719078,0.11598940825335241,0.017284461752114122,0.3168793445718005,1.028578833215764,0.47545802573681456,0.7217850264158117,1.7429573773942062,0.0
