,Katharine,Mary,Ralph,Cassandra,Denham,Hilbery,William,Rodney,Seal,Ralph Denham
Katharine,0.0,0.020049930638302557,0.030019951292856072,0.009963406535178389,0.010921343571212381,0.0065332406639707526,0.0074357925684607196,0.011119798541331764,0.012724411737618865,0.0030723950298927718
Mary,0.020049930638302557,0.0,0.0687029658607595,0.06198914554149809,0.047870240950026066,0.057240350574911836,0.034231754340237654,0.04754602874926132,0.0033306328137591014,0.0127931910452114
Ralph,0.030019951292856072,0.0687029658607595,0.0,0.10875105224821724,0.14281224491922367,0.07726258346293803,0.05147468514723828,0.10675404420202345,0.05091218083024428,0.00868955249080961
Cassandra,0.009963406535178389,0.06198914554149809,0.10875105224821724,0.0,0.4053470056489389,0.19143257068337077,0.07203480731838789,0.14106858755946677,0.08438075599198766,0.015802884135718617
Denham,0.010921343571212381,0.047870240950026066,0.14281224491922367,0.4053470056489389,0.0,0.32001363896006213,0.28958358781262283,0.07342583081042159,0.019555982778071974,0.04654287446565208
Hilbery,0.0065332406639707526,0.057240350574911836,0.07726258346293803,0.19143257068337077,0.32001363896006213,0.0,0.1466776326369491,0.12458647534274962,0.058259704602491184,0.02338521400778211
William,0.0074357925684607196,0.034231754340237654,0.05147468514723828,0.07203480731838789,0.28958358781262283,0.1466776326369491,0.0,0.10207925354403524,0.09616600568692005,0.011116969431845215
Rodney,0.011119798541331764,0.04754602874926132,0.10675404420202345,0.14106858755946677,0.07342583081042159,0.12458647534274962,0.10207925354403524,0.0,0.09714006343103168,0.036155381085042855
Seal,0.012724411737618865,0.0033306328137591014,0.05091218083024428,0.08438075599198766,0.019555982778071974,0.058259704602491184,0.09616600568692005,0.09714006343103168,0.0,0.38913713842777004
Ralph Denham,0.0030723950298927718,0.0127931910452114,0.00868955249080961,0.015802884135718617,0.04654287446565208,0.02338521400778211,0.011116969431845215,0.036155381085042855,0.38913713842777004,0.0
