,Katharine,Mary,Ralph,Cassandra,Denham,Hilbery,William,Rodney,Seal,Ralph Denham
Katharine,0.0,0.0177506285159971,0.026474019757239182,0.008660868842853048,0.010457093101249764,0.005792710411890762,0.006595264452235079,0.010292437463780947,0.011919388862132754,0.002713211151398677
Mary,0.0177506285159971,0.0,0.06083876670511276,0.05448539431517732,0.04491821457641219,0.05070873154701758,0.031446411703946256,0.04398063688952775,0.0031923602858834744,0.011252905587740735
Ralph,0.026474019757239182,0.06083876670511276,0.0,0.09549262777571353,0.1344341779238929,0.06971356820962682,0.046239717261466556,0.1017714695568521,0.04965205505112592,0.007736239776491427
Cassandra,0.008660868842853048,0.05448539431517732,0.09549262777571353,0.0,0.37503106590221125,0.1741055804003025,0.06679709632569568,0.13020719631970176,0.08614920626415755,0.015200745114022059
Denham,0.010457093101249764,0.04491821457641219,0.1344341779238929,0.37503106590221125,0.0,0.2908230466017569,0.265645314250242,0.06512806118854826,0.01779327253006006,0.040124924402766396
Hilbery,0.005792710411890762,0.05070873154701758,0.06971356820962682,0.1741055804003025,0.2908230466017569,0.0,0.12873008375536835,0.1134165699221116,0.05434797272305043,0.020408978104982302
William,0.006595264452235079,0.031446411703946256,0.046239717261466556,0.06679709632569568,0.265645314250242,0.12873008375536835,0.0,0.0947862143204923,0.09520125759689507,0.01027490840264594
Rodney,0.010292437463780947,0.04398063688952775,0.1017714695568521,0.13020719631970176,0.06512806118854826,0.1134165699221116,0.0947862143204923,0.0,0.09836927921914693,0.03211125901015807
Seal,0.011919388862132754,0.0031923602858834744,0.04965205505112592,0.08614920626415755,0.01779327253006006,0.05434797272305043,0.09520125759689507,0.09836927921914693,0.0,0.3525162196119078
Ralph Denham,0.002713211151398677,0.011252905587740735,0.007736239776491427,0.015200745114022059,0.040124924402766396,0.020408978104982302,0.01027490840264594,0.03211125901015807,0.3525162196119078,0.0
