,Ormerod,John,Mitford,Jane Austen,Shakespeare,Evelyn,Edgeworth,George Eliot,Margaret,Eleanor
Ormerod,0.0,0.1953738245123183,0.9801878388961625,0.5147157710489592,0.8085182673081951,1.3215709496456756,1.9299720214502218,0.6212100237040491,0.626486360456983,0.007009903518413662
John,0.1953738245123183,0.0,0.7576765398664443,0.25719020007366333,0.533566752863209,1.0452222740343515,1.6299234475790785,0.4631360748426207,0.2965641272246832,0.017539330957377117
Mitford,0.9801878388961625,0.7576765398664443,0.0,0.6014530767957127,0.323524944007574,0.2773051392921992,0.8372488730861894,0.32439695538975666,0.26925043230745316,0.8957139803928099
Jane Austen,0.5147157710489592,0.25719020007366333,0.6014530767957127,0.0,0.3984152553749196,0.9542434133830728,1.3554257014066993,0.4119367859640942,0.35279506198025956,0.20656524442371962
Shakespeare,0.8085182673081951,0.533566752863209,0.323524944007574,0.3984152553749196,0.0,0.5776996474420116,1.047335723167794,0.21521503652755108,0.22033715123960518,0.5509789716772697
Evelyn,1.3215709496456756,1.0452222740343515,0.2773051392921992,0.9542434133830728,0.5776996474420116,0.0,0.6097497474158702,0.6694596642574028,0.6755890796222895,1.386434289267117
Edgeworth,1.9299720214502218,1.6299234475790785,0.8372488730861894,1.3554257014066993,1.047335723167794,0.6097497474158702,0.0,1.2926739673194994,1.2988033826843863,2.008583696943454
George Eliot,0.6212100237040491,0.4631360748426207,0.32439695538975666,0.4119367859640942,0.21521503652755108,0.6694596642574028,1.2926739673194994,0.0,0.43327468038392786,0.7070454318355925
Margaret,0.626486360456983,0.2965641272246832,0.26925043230745316,0.35279506198025956,0.22033715123960518,0.6755890796222895,1.2988033826843863,0.43327468038392786,0.0,0.6438341715795669
Eleanor,0.007009903518413662,0.017539330957377117,0.8957139803928099,0.20656524442371962,0.5509789716772697,1.386434289267117,2.008583696943454,0.7070454318355925,0.6438341715795669,0.0
