,Ormerod,John,Mitford,Jane Austen,Shakespeare,Evelyn,Edgeworth,George Eliot,Margaret,Eleanor
Ormerod,0.0,0.1877350300555523,0.9233092859341505,0.4828043037109165,0.761283416481871,1.226473497906049,1.7409899963991289,0.5987884834226496,0.5878199482254758,0.008174155364877873
John,0.1877350300555523,0.0,0.7105001625541227,0.2369233192799864,0.49891234339779233,0.962634326334697,1.4550720338619438,0.4358706417212503,0.2732267198604487,0.019530561430615264
Mitford,0.9233092859341505,0.7105001625541227,0.0,0.5546900855772152,0.291359993798161,0.24186784259275923,0.7162502272492511,0.29455716696601436,0.2568522212776925,0.8630898585572027
Jane Austen,0.4828043037109165,0.2369233192799864,0.5546900855772152,0.0,0.36576105143045945,0.8660250381494955,1.202810111910278,0.38718072108121665,0.32102027361890506,0.2193802605691804
Shakespeare,0.761283416481871,0.49891234339779233,0.291359993798161,0.36576105143045945,0.0,0.5221506564262814,0.9109388248934905,0.19470454421648825,0.20469278737560587,0.5470866241913194
Evelyn,1.226473497906049,0.962634326334697,0.24186784259275923,0.8660250381494955,0.5221506564262814,0.0,0.5171178129751919,0.6000022762034606,0.6228212098363487,1.304848268402235
Edgeworth,1.7409899963991289,1.4550720338619438,0.7162502272492511,1.202810111910278,0.9109388248934905,0.5171178129751919,0.0,1.129125608497796,1.151944542130684,1.833265094421319
George Eliot,0.5987884834226496,0.4358706417212503,0.29455716696601436,0.38718072108121665,0.19470454421648825,0.6000022762034606,1.129125608497796,0.0,0.4052337006325173,0.6964810578991211
Margaret,0.5878199482254758,0.2732267198604487,0.2568522212776925,0.32102027361890506,0.20469278737560587,0.6228212098363487,1.151944542130684,0.4052337006325173,0.0,0.6186744388195581
Eleanor,0.008174155364877873,0.019530561430615264,0.8630898585572027,0.2193802605691804,0.5470866241913194,1.304848268402235,1.833265094421319,0.6964810578991211,0.6186744388195581,0.0
