,Rachel,Helen,Hewet,Flushing,Thornbury,Evelyn,Susan,Elliot,Ambrose,Richard
Rachel,0.0,0.006835842749155451,0.011777452757844933,0.021782302664655605,0.028623239784627413,0.033906878552429076,0.017905291271304344,0.020782893017218855,0.011298323113305513,0.003887793118562355
Helen,0.006835842749155451,0.0,0.07422850932654854,0.07523043405396347,0.1669074675673469,0.12127292293204812,0.0969141122735894,0.101677263357244,0.02123746130784842,0.09438828084378613
Hewet,0.011777452757844933,0.07422850932654854,0.0,0.30177747156686874,0.1313603558890135,0.18641545594788433,0.06297147538977606,0.05461457770825963,0.3403209819248029,0.3486846888656844
Flushing,0.021782302664655605,0.07523043405396347,0.30177747156686874,0.0,0.4153039366086123,0.2952194333793127,0.33432629462041225,0.336365510996351,0.13675321103677057,0.1222575447009836
Thornbury,0.028623239784627413,0.1669074675673469,0.1313603558890135,0.4153039366086123,0.0,0.17602276501220693,0.04776143125816329,0.037173866416180645,0.5298888187022929,0.542485121157821
Evelyn,0.033906878552429076,0.12127292293204812,0.18641545594788433,0.2952194333793127,0.17602276501220693,0.0,0.20469619946744128,0.23294050059966298,0.5961386629310209,0.495501411610009
Susan,0.017905291271304344,0.0969141122735894,0.06297147538977606,0.33432629462041225,0.04776143125816329,0.20469619946744128,0.0,0.08285225806407118,0.7330556665649678,0.6841885068732732
Elliot,0.020782893017218855,0.101677263357244,0.05461457770825963,0.336365510996351,0.037173866416180645,0.23294050059966298,0.08285225806407118,0.0,0.7936861427308889,0.7317031708585253
Ambrose,0.011298323113305513,0.02123746130784842,0.3403209819248029,0.13675321103677057,0.5298888187022929,0.5961386629310209,0.7330556665649678,0.7936861427308889,0.0,0.30739932878696075
Richard,0.003887793118562355,0.09438828084378613,0.3486846888656844,0.1222575447009836,0.542485121157821,0.495501411610009,0.6841885068732732,0.7317031708585253,0.30739932878696075,0.0
