,Rachel,Helen,Hewet,Flushing,Thornbury,Evelyn,Susan,Elliot,Ambrose,Richard
Rachel,0.0,0.006634407032174737,0.01028631284459305,0.020456157133943352,0.02504374229359553,0.02872521983194582,0.015363463477021022,0.01779417546917869,0.012608885174973045,0.0037746405090471006
Helen,0.006634407032174737,0.0,0.06627461903284475,0.06927540482979375,0.14673816140484586,0.1054164283082337,0.08424717351036612,0.08888998432352327,0.02206865586922125,0.0879001309276578
Hewet,0.01028631284459305,0.06627461903284475,0.0,0.27553268477497217,0.1168959001094079,0.165816206824016,0.05477694335703895,0.047580072652027114,0.3250569254255506,0.3205600718734959
Flushing,0.020456157133943352,0.06927540482979375,0.27553268477497217,0.0,0.37224413833651093,0.26120007391872824,0.29835968819596737,0.30108615998574734,0.13246385989968684,0.11319313128378232
Thornbury,0.02504374229359553,0.14673816140484586,0.1168959001094079,0.37224413833651093,0.0,0.15851747948993195,0.04230296283311931,0.03235909182343312,0.4934266665759014,0.49619839871587856
Evelyn,0.02872521983194582,0.1054164283082337,0.165816206824016,0.26120007391872824,0.15851747948993195,0.0,0.18224696241118654,0.2061275674943258,0.555332897050238,0.4464138218844392
Susan,0.015363463477021022,0.08424717351036612,0.05477694335703895,0.29835968819596737,0.04230296283311931,0.18224696241118654,0.0,0.07236703893340016,0.6784830681561922,0.6181394981500219
Elliot,0.01779417546917869,0.08888998432352327,0.047580072652027114,0.30108615998574734,0.03235909182343312,0.2061275674943258,0.07236703893340016,0.0,0.7338702674596969,0.6601308130111447
Ambrose,0.012608885174973045,0.02206865586922125,0.3250569254255506,0.13246385989968684,0.4934266665759014,0.555332897050238,0.6784830681561922,0.7338702674596969,0.0,0.29388591190428814
Richard,0.0037746405090471006,0.0879001309276578,0.3205600718734959,0.11319313128378232,0.49619839871587856,0.4464138218844392,0.6181394981500219,0.6601308130111447,0.29388591190428814,0.0
