,Rachel,Helen,Hewet,Flushing,Thornbury,Evelyn,Susan,Elliot,Ambrose,Richard
Rachel,0.0,0.00710204930460202,0.013383938842757835,0.02351428577548762,0.0326791161248387,0.03964361702439614,0.020675009836967448,0.02404737933930027,0.010258799266960422,0.003965926581835747
Helen,0.00710204930460202,0.0,0.0825011141083837,0.08154252633538228,0.18833303800126894,0.1383413918588538,0.11044564780325927,0.11521504017747516,0.020583683444071174,0.10037137796185855
Hewet,0.013383938842757835,0.0825011141083837,0.0,0.3286586806207442,0.14694576395273284,0.20787133296403948,0.07180596062428851,0.06211076578671666,0.35473557855579924,0.37608900573957965
Flushing,0.02351428577548762,0.08154252633538228,0.3286586806207442,0.0,0.4593432922410551,0.33076556518895023,0.37123981877575596,0.3722905051414326,0.14063286693654742,0.1307905369856877
Thornbury,0.0326791161248387,0.18833303800126894,0.14694576395273284,0.4593432922410551,0.0,0.19377941107720575,0.05360041031495047,0.04231358105376673,0.5656330421772849,0.5887913844194238
Evelyn,0.03964361702439614,0.1383413918588538,0.20787133296403948,0.33076556518895023,0.19377941107720575,0.0,0.22815820145579752,0.2609421019086687,0.6374053477779276,0.5451853896060537
Susan,0.020675009836967448,0.11044564780325927,0.07180596062428851,0.37123981877575596,0.05360041031495047,0.22815820145579752,0.0,0.09402835878951324,0.7878397280460055,0.7505895556876858
Elliot,0.02404737933930027,0.11521504017747516,0.06211076578671666,0.3722905051414326,0.04231358105376673,0.2609421019086687,0.09402835878951324,0.0,0.8537981737936042,0.8036223223490547
Ambrose,0.010258799266960422,0.020583683444071174,0.35473557855579924,0.14063286693654742,0.5656330421772849,0.6374053477779276,0.7878397280460055,0.8537981737936042,0.0,0.3198323172698012
Richard,0.003965926581835747,0.10037137796185855,0.37608900573957965,0.1307905369856877,0.5887913844194238,0.5451853896060537,0.7505895556876858,0.8036223223490547,0.3198323172698012,0.0
