,Pascal,Martine,Charles,Rougon,Ramond,Mme,Félicité,Viorne,Maxime,Aunt Dide
Pascal,0.0,0.011583165500161877,0.0049588850696090855,0.0028447222915380685,0.003554261173349426,0.002663621581156166,0.005812091534632623,0.005180166755402172,0.003308189922497583,0.00712712817886113
Martine,0.011583165500161877,0.0,0.031177599677194637,0.006717635702184097,0.014507131506021745,0.003404956025751657,0.004673010497730441,0.006151037599271786,0.0066280540926264234,0.008269745165767025
Charles,0.0049588850696090855,0.031177599677194637,0.0,0.34524779685057977,0.7710870293271694,0.23228721820150877,0.2179766687916042,0.09077945471609859,0.035775731865880414,0.007343101760038797
Rougon,0.0028447222915380685,0.006717635702184097,0.34524779685057977,0.0,0.5271722856279796,0.09679126599051474,0.02551491009089415,0.0430673659091988,0.035804187844481486,0.0345222095264779
Ramond,0.003554261173349426,0.014507131506021745,0.7710870293271694,0.5271722856279796,0.0,0.5645866115389763,0.12834488241955963,0.26614186433469084,0.13290839071955682,0.1350039181693612
Mme,0.002663621581156166,0.003404956025751657,0.23228721820150877,0.09679126599051474,0.5645866115389763,0.0,0.033006577877278315,0.05062520647422339,0.029945174814561857,0.04919382023701639
Félicité,0.005812091534632623,0.004673010497730441,0.2179766687916042,0.02551491009089415,0.12834488241955963,0.033006577877278315,0.0,0.310719586031179,0.21685790543567562,0.1631162361058212
Viorne,0.005180166755402172,0.006151037599271786,0.09077945471609859,0.0430673659091988,0.26614186433469084,0.05062520647422339,0.310719586031179,0.0,0.14443962881729655,0.1447905858867102
Maxime,0.003308189922497583,0.0066280540926264234,0.035775731865880414,0.035804187844481486,0.13290839071955682,0.029945174814561857,0.21685790543567562,0.14443962881729655,0.0,0.19260830418419628
Aunt Dide,0.00712712817886113,0.008269745165767025,0.007343101760038797,0.0345222095264779,0.1350039181693612,0.04919382023701639,0.1631162361058212,0.1447905858867102,0.19260830418419628,0.0
