,Pascal,Martine,Charles,Rougon,Ramond,Mme,Félicité,Viorne,Maxime,Aunt Dide
Pascal,0.0,0.010895733718303241,0.004765537537737616,0.002708214385375489,0.00307307865383482,0.002565214051707106,0.0055633289095932004,0.005173790527504338,0.0032402243312577763,0.006868646708293919
Martine,0.010895733718303241,0.0,0.0295915443848323,0.006329465492727671,0.012673299955454692,0.0032551481122740783,0.004507036744155719,0.005930436860796079,0.006270524475669884,0.007880229867960584
Charles,0.004765537537737616,0.0295915443848323,0.0,0.3101370442675149,0.6821101454627386,0.20982434799652017,0.19118879248776124,0.08153148214710178,0.0321766875893361,0.006650416537023794
Rougon,0.002708214385375489,0.006329465492727671,0.3101370442675149,0.0,0.4740462208044992,0.08553547840395173,0.023427101728093296,0.04118763343997814,0.032782375641003336,0.03232713545137674
Ramond,0.00307307865383482,0.012673299955454692,0.6821101454627386,0.4740462208044992,0.0,0.5058760143666234,0.12169614998172984,0.24341210457680684,0.12202443606573488,0.13421561920507416
Mme,0.002565214051707106,0.0032551481122740783,0.20982434799652017,0.08553547840395173,0.5058760143666234,0.0,0.030308030612762386,0.04685777738253493,0.027820878666263926,0.0462368911660532
Félicité,0.0055633289095932004,0.004507036744155719,0.19118879248776124,0.023427101728093296,0.12169614998172984,0.030308030612762386,0.0,0.27857144666863254,0.19340713096091383,0.1503426097993975
Viorne,0.005173790527504338,0.005930436860796079,0.08153148214710178,0.04118763343997814,0.24341210457680684,0.04685777738253493,0.27857144666863254,0.0,0.13205341688137612,0.13163566631795726
Maxime,0.0032402243312577763,0.006270524475669884,0.0321766875893361,0.032782375641003336,0.12202443606573488,0.027820878666263926,0.19340713096091383,0.13205341688137612,0.0,0.18366153761542128
Aunt Dide,0.006868646708293919,0.007880229867960584,0.006650416537023794,0.03232713545137674,0.13421561920507416,0.0462368911660532,0.1503426097993975,0.13163566631795726,0.18366153761542128,0.0
