,Pascal,Martine,Charles,Rougon,Ramond,Mme,Félicité,Viorne,Maxime,Aunt Dide
Pascal,0.0,0.01231816631810195,0.005117160853719903,0.002987505801789401,0.004075445552064283,0.00276303827847768,0.006051516201331893,0.005208463239640864,0.0033735028283452943,0.007325636044973925
Martine,0.01231816631810195,0.0,0.032553026681315496,0.007112781452549195,0.016515209729533745,0.003551784759214668,0.004816965231396936,0.00643624631954644,0.007001501120321208,0.008609437284105965
Charles,0.005117160853719903,0.032553026681315496,0.0,0.38156463777163957,0.8638233425594312,0.25536934992003163,0.2465603935390023,0.10091573000633865,0.039618831440135,0.008044238831384535
Rougon,0.002987505801789401,0.007112781452549195,0.38156463777163957,0.0,0.5819738773032117,0.10851470193127676,0.027673867227373458,0.044879460428753244,0.038874102162108376,0.036544634754882725
Ramond,0.004075445552064283,0.016515209729533745,0.8638233425594312,0.5819738773032117,0.0,0.6252115774192329,0.13473587423234973,0.28911616431183945,0.14382121984361593,0.13490058236354233
Mme,0.00276303827847768,0.003551784759214668,0.25536934992003163,0.10851470193127676,0.6252115774192329,0.0,0.03580648472800238,0.054629174908816934,0.03210713640473355,0.05190796456482088
Félicité,0.006051516201331893,0.004816965231396936,0.2465603935390023,0.027673867227373458,0.13473587423234973,0.03580648472800238,0.0,0.34445789508084285,0.24176512817850476,0.17592242901363248
Viorne,0.005208463239640864,0.00643624631954644,0.10091573000633865,0.044879460428753244,0.28911616431183945,0.054629174908816934,0.34445789508084285,0.0,0.15724675569373422,0.15813089517479853
Maxime,0.0033735028283452943,0.007001501120321208,0.039618831440135,0.038874102162108376,0.14382121984361593,0.03210713640473355,0.24176512817850476,0.15724675569373422,0.0,0.20081593609841336
Aunt Dide,0.007325636044973925,0.008609437284105965,0.008044238831384535,0.036544634754882725,0.13490058236354233,0.05190796456482088,0.17592242901363248,0.15813089517479853,0.20081593609841336,0.0
