,Étienne,Catherine,Maheude,Zacharie,Mouquette,Lydie,Souvarine,Bébert,Chaval,Cécile
Étienne,0.0,0.017565388395568097,0.054445631967030325,0.007628918366717827,0.003844979470444633,0.004571965219185697,0.0022313405378614143,0.003921551357219961,0.0028929363977976586,0.048020509961163256
Catherine,0.017565388395568097,0.0,0.1157110882945003,0.011879184780737932,0.009549289282500473,0.021988795826604256,0.0181826989636001,0.028936531123849023,0.0021883109722699596,0.056983709175046374
Maheude,0.054445631967030325,0.1157110882945003,0.0,0.17328397420244085,0.10975891534659499,0.1296759289259432,0.059350359378984786,0.09366198928364897,0.06349339987898747,0.026289995869899326
Zacharie,0.007628918366717827,0.011879184780737932,0.17328397420244085,0.0,0.053188283253549164,0.03785246213110184,0.09765299679995965,0.041731699880343205,0.04566559945274094,0.15127810052898608
Mouquette,0.003844979470444633,0.009549289282500473,0.10975891534659499,0.053188283253549164,0.0,0.13293057489256038,0.5183291089170747,0.12070613484371867,0.1819605356223988,0.20244290571441648
Lydie,0.004571965219185697,0.021988795826604256,0.1296759289259432,0.03785246213110184,0.13293057489256038,0.0,0.6093097032926423,0.1375240585111973,0.25597150619124825,0.28486857108282354
Souvarine,0.0022313405378614143,0.0181826989636001,0.059350359378984786,0.09765299679995965,0.5183291089170747,0.6093097032926423,0.0,0.4171995612325107,0.29584631083255386,0.3493769330527342
Bébert,0.003921551357219961,0.028936531123849023,0.09366198928364897,0.041731699880343205,0.12070613484371867,0.1375240585111973,0.4171995612325107,0.0,0.17033663393353426,0.308230254739324
Chaval,0.0028929363977976586,0.0021883109722699596,0.06349339987898747,0.04566559945274094,0.1819605356223988,0.25597150619124825,0.29584631083255386,0.17033663393353426,0.0,0.2080256261544704
Cécile,0.048020509961163256,0.056983709175046374,0.026289995869899326,0.15127810052898608,0.20244290571441648,0.28486857108282354,0.3493769330527342,0.308230254739324,0.2080256261544704,0.0
