,Étienne,Catherine,Maheude,Zacharie,Mouquette,Lydie,Souvarine,Bébert,Chaval,Cécile
Étienne,0.0,0.016956276054688767,0.04941874538510265,0.007684337224176052,0.0036433247420275213,0.004630105329980657,0.0019483147842800689,0.004002900378642332,0.002735542584175546,0.04447738917014687
Catherine,0.016956276054688767,0.0,0.1021463787312083,0.010653518394804443,0.009252526050097893,0.023000780323771338,0.01591986274204539,0.027792259988401406,0.0019441022220216557,0.05236425336885092
Maheude,0.04941874538510265,0.1021463787312083,0.0,0.16925509805041694,0.10716774746093329,0.13142309293976862,0.051693860299027096,0.09537063891771903,0.05968507727593391,0.024553164576127287
Zacharie,0.007684337224176052,0.010653518394804443,0.16925509805041694,0.0,0.04950659964193693,0.03693738270455852,0.08521441901554067,0.03874245895574741,0.04045875648689607,0.13803999903367473
Mouquette,0.0036433247420275213,0.009252526050097893,0.10716774746093329,0.04950659964193693,0.0,0.12501002907623524,0.4696478748769058,0.11227847043374416,0.16140223198480896,0.18080282539084921
Lydie,0.004630105329980657,0.023000780323771338,0.13142309293976862,0.03693738270455852,0.12501002907623524,0.0,0.55992592074306,0.1196566094598645,0.23169066589906387,0.25786227156170494
Souvarine,0.0019483147842800689,0.01591986274204539,0.051693860299027096,0.08521441901554067,0.4696478748769058,0.55992592074306,0.0,0.3890796186184545,0.27190664244392077,0.31561407479449555
Bébert,0.004002900378642332,0.027792259988401406,0.09537063891771903,0.03874245895574741,0.11227847043374416,0.1196566094598645,0.3890796186184545,0.0,0.16049031148872916,0.281464031372904
Chaval,0.002735542584175546,0.0019441022220216557,0.05968507727593391,0.04045875648689607,0.16140223198480896,0.23169066589906387,0.27190664244392077,0.16049031148872916,0.0,0.18988466118012468
Cécile,0.04447738917014687,0.05236425336885092,0.024553164576127287,0.13803999903367473,0.18080282539084921,0.25786227156170494,0.31561407479449555,0.281464031372904,0.18988466118012468,0.0
