,Étienne,Catherine,Maheude,Zacharie,Mouquette,Lydie,Souvarine,Bébert,Chaval,Cécile
Étienne,0.0,0.01810599093951201,0.05941550974112567,0.007616542011037764,0.004039613739627004,0.004607309810162496,0.0025320668649932484,0.003952203403503105,0.0030415157152332128,0.05136124573516704
Catherine,0.01810599093951201,0.0,0.1300322479479747,0.013234104465841211,0.0099360765851407,0.021322707669029824,0.020567072259710585,0.03064290009410413,0.0024478450417156072,0.06145825491736126
Maheude,0.05941550974112567,0.1300322479479747,0.0,0.17617297091424494,0.11164235241500023,0.1274321841769051,0.06750199429560146,0.09174595949010082,0.06722078014575987,0.028029466794218666
Zacharie,0.007616542011037764,0.013234104465841211,0.17617297091424494,0.0,0.0568904388286646,0.03911748560521174,0.11085730826260431,0.04537629163367536,0.05120564600133093,0.164380852628602
Mouquette,0.004039613739627004,0.0099360765851407,0.11164235241500023,0.0568904388286646,0.0,0.14150055398130634,0.5674095976111929,0.12955379424885363,0.20343134186108724,0.22488053930805782
Lydie,0.004607309810162496,0.021322707669029824,0.1274321841769051,0.03911748560521174,0.14150055398130634,0.0,0.6595825053310089,0.15661533317603343,0.2816793934294105,0.31264672873412064
Souvarine,0.0025320668649932484,0.020567072259710585,0.06750199429560146,0.11085730826260431,0.5674095976111929,0.6595825053310089,0.0,0.4453708331059647,0.31922243602330697,0.38324942958218555
Bébert,0.003952203403503105,0.03064290009410413,0.09174595949010082,0.04537629163367536,0.12955379424885363,0.15661533317603343,0.4453708331059647,0.0,0.18115114196889626,0.3355940627963459
Chaval,0.0030415157152332128,0.0024478450417156072,0.06722078014575987,0.05120564600133093,0.20343134186108724,0.2816793934294105,0.31922243602330697,0.18115114196889626,0.0,0.22602695815538856
Cécile,0.05136124573516704,0.06145825491736126,0.028029466794218666,0.164380852628602,0.22488053930805782,0.31264672873412064,0.38324942958218555,0.3355940627963459,0.22602695815538856,0.0
