,Claude,Christine,Jory,Gagnière,Mahoudeau,Jacques,Bongrand,Henriette,Naudet,Sandoz
Claude,0.0,0.0046938996335948845,0.0030516302481839322,0.0025357832257814454,0.0020805482702674575,0.0028420242678905807,0.01391543172845733,0.0024232236953181984,0.017424896633379854,0.001563123867232941
Christine,0.0046938996335948845,0.0,0.06385461253383998,0.03885958795844136,0.017893142909986982,0.0027614719434450414,0.07130572736574273,0.030365946142085726,0.07033341587403319,0.013039305326372184
Jory,0.0030516302481839322,0.06385461253383998,0.0,0.059775297774659036,0.025580829161898643,0.09916983014881141,0.039967602265295374,0.026312377395309724,0.03987922700287782,0.016718695052343996
Gagnière,0.0025357832257814454,0.03885958795844136,0.059775297774659036,0.0,0.06876579425647385,0.11474528333077852,0.1869564110438722,0.023143474655400956,0.17510607173549803,0.026981037141234048
Mahoudeau,0.0020805482702674575,0.017893142909986982,0.025580829161898643,0.06876579425647385,0.0,0.1787412497031887,0.21577941534500567,0.16258321727766514,0.14881339073726885,0.03461314145048289
Jacques,0.0028420242678905807,0.0027614719434450414,0.09916983014881141,0.11474528333077852,0.1787412497031887,0.0,0.6683807020251766,0.36906915114412386,0.5093586587621808,0.11651234885167852
Bongrand,0.01391543172845733,0.07130572736574273,0.039967602265295374,0.1869564110438722,0.21577941534500567,0.6683807020251766,0.0,0.535022195938036,0.09986037442958474,0.2775054508074769
Henriette,0.0024232236953181984,0.030365946142085726,0.026312377395309724,0.023143474655400956,0.16258321727766514,0.36906915114412386,0.535022195938036,0.0,0.41776698968518705,0.3223255335840074
Naudet,0.017424896633379854,0.07033341587403319,0.03987922700287782,0.17510607173549803,0.14881339073726885,0.5093586587621808,0.09986037442958474,0.41776698968518705,0.0,0.4074797522114318
Sandoz,0.001563123867232941,0.013039305326372184,0.016718695052343996,0.026981037141234048,0.03461314145048289,0.11651234885167852,0.2775054508074769,0.3223255335840074,0.4074797522114318,0.0
