,Claude,Christine,Jory,Gagnière,Mahoudeau,Jacques,Bongrand,Henriette,Naudet,Sandoz
Claude,0.0,0.0041547077335283775,0.0026715096569580087,0.002408844039540561,0.001852170836446766,0.002656186651031634,0.011698407033811961,0.002226332027723367,0.01460306776360294,0.0013770254698810842
Christine,0.0041547077335283775,0.0,0.05704141506373539,0.0369110711150247,0.01753141721052014,0.0026412272722596527,0.06018113040885401,0.033180984503933406,0.060345413534820196,0.012613578755190369
Jory,0.0026715096569580087,0.05704141506373539,0.0,0.05828675999472617,0.0232224485251023,0.09597531176092206,0.0347193649904638,0.023709245237448995,0.03515658253902616,0.01520061107182016
Gagnière,0.002408844039540561,0.0369110711150247,0.05828675999472617,0.0,0.06227534716019881,0.10977528326185258,0.15862702606377085,0.02244809990158126,0.14826112458594612,0.02468396638600806
Mahoudeau,0.001852170836446766,0.01753141721052014,0.0232224485251023,0.06227534716019881,0.0,0.16636084259810513,0.18734939021756689,0.15266692834384749,0.12726745207883844,0.0303063581072664
Jacques,0.002656186651031634,0.0026412272722596527,0.09597531176092206,0.10977528326185258,0.16636084259810513,0.0,0.5951870984935373,0.3391058616198404,0.44615902344041963,0.10448576697984369
Bongrand,0.011698407033811961,0.06018113040885401,0.0347193649904638,0.15862702606377085,0.18734939021756689,0.5951870984935373,0.0,0.49368678301251256,0.09060065605989005,0.24993821417115694
Henriette,0.002226332027723367,0.033180984503933406,0.023709245237448995,0.02244809990158126,0.15266692834384749,0.3391058616198404,0.49368678301251256,0.0,0.37723133064325926,0.30351310522120317
Naudet,0.01460306776360294,0.060345413534820196,0.03515658253902616,0.14826112458594612,0.12726745207883844,0.44615902344041963,0.09060065605989005,0.37723133064325926,0.0,0.35599548922162405
Sandoz,0.0013770254698810842,0.012613578755190369,0.01520061107182016,0.02468396638600806,0.0303063581072664,0.10448576697984369,0.24993821417115694,0.30351310522120317,0.35599548922162405,0.0
