,Claude,Christine,Jory,Gagnière,Mahoudeau,Jacques,Bongrand,Henriette,Naudet,Sandoz
Claude,0.0,0.005276605975318817,0.003468737216471937,0.0026764070613649114,0.002325804597594521,0.003024015346356238,0.016393800428304465,0.0026529726276880317,0.02059358802470024,0.0017614329267498473
Christine,0.005276605975318817,0.0,0.07140990885779659,0.04106210174775198,0.01846692415820866,0.002868958629816553,0.08368744928686042,0.027785724850592244,0.08179083416591391,0.013718668381617189
Jory,0.003468737216471937,0.07140990885779659,0.0,0.061028425639826335,0.028008265249783525,0.10195810468425276,0.04559678896068434,0.029351824637731942,0.044963658059383925,0.0182721071811165
Gagnière,0.0026764070613649114,0.04106210174775198,0.061028425639826335,0.0,0.07562864757008791,0.11932180755339615,0.21822292821484726,0.024189649283840434,0.20486820159945635,0.02932373997441414
Mahoudeau,0.002325804597594521,0.01846692415820866,0.028008265249783525,0.07562864757008791,0.0,0.19113883456209205,0.24635548847967811,0.17344184671382307,0.17249900079682204,0.03923076827779956
Jacques,0.003024015346356238,0.002868958629816553,0.10195810468425276,0.11932180755339615,0.19113883456209205,0.0,0.7446653486326725,0.40079834447780904,0.5767611141896778,0.12914950741636738
Bongrand,0.016393800428304465,0.08368744928686042,0.04559678896068434,0.21822292821484726,0.24635548847967811,0.7446653486326725,0.0,0.5782727182879035,0.10970777958856386,0.3060165747999155
Henriette,0.0026529726276880317,0.027785724850592244,0.029351824637731942,0.024189649283840434,0.17344184671382307,0.40079834447780904,0.5782727182879035,0.0,0.4609181879897789,0.34147105429452834
Naudet,0.02059358802470024,0.08179083416591391,0.044963658059383925,0.20486820159945635,0.17249900079682204,0.5767611141896778,0.10970777958856386,0.4609181879897789,0.0,0.4625307518801185
Sandoz,0.0017614329267498473,0.013718668381617189,0.0182721071811165,0.02932373997441414,0.03923076827779956,0.12914950741636738,0.3060165747999155,0.34147105429452834,0.4625307518801185,0.0
