,Lisa,Florent,Gavard,Marjolin,Claude,La Sarriette,Norman,Pauline,Cadine,Augustine
Lisa,0.0,0.01621972016083503,0.012568266226061315,0.07421818070946141,0.05909315820656419,0.016123753869658215,0.0062825862368028375,0.0037345936558230573,0.0869433573558845,0.0029200485677885655
Florent,0.01621972016083503,0.0,0.04306557043329655,0.15156813181635098,0.06178726282788645,0.03983221346205755,0.012633750653039592,0.03178082442815707,0.07786009457172034,0.006832130958718224
Gavard,0.012568266226061315,0.04306557043329655,0.0,0.29050327006867793,0.17592197559697223,0.05290116014505775,0.10178950892042272,0.020485415728383843,0.1611584429532979,0.01527851712732297
Marjolin,0.07421818070946141,0.15156813181635098,0.29050327006867793,0.0,0.2172222938243053,0.672914229661384,0.9885725034294246,0.35888928353858157,0.008673466006185281,0.4465515930217555
Claude,0.05909315820656419,0.06178726282788645,0.17592197559697223,0.2172222938243053,0.0,0.4617784055247047,0.7446054754055962,0.2664447918097025,0.024131938073644766,0.1538807662500011
La Sarriette,0.016123753869658215,0.03983221346205755,0.05290116014505775,0.672914229661384,0.4617784055247047,0.0,0.2709511494424749,0.14900081866833603,0.48818435455714226,0.11444754994988564
Norman,0.0062825862368028375,0.012633750653039592,0.10178950892042272,0.9885725034294246,0.7446054754055962,0.2709511494424749,0.0,0.5198057797500929,0.9860062887235728,0.19971204530715025
Pauline,0.0037345936558230573,0.03178082442815707,0.020485415728383843,0.35888928353858157,0.2664447918097025,0.14900081866833603,0.5198057797500929,0.0,0.5009806832953092,0.20159528608768698
Cadine,0.0869433573558845,0.07786009457172034,0.1611584429532979,0.008673466006185281,0.024131938073644766,0.48818435455714226,0.9860062887235728,0.5009806832953092,0.0,0.7934216451355737
Augustine,0.0029200485677885655,0.006832130958718224,0.01527851712732297,0.4465515930217555,0.1538807662500011,0.11444754994988564,0.19971204530715025,0.20159528608768698,0.7934216451355737,0.0
