,Lisa,Florent,Gavard,Marjolin,Claude,La Sarriette,Norman,Pauline,Cadine,Augustine
Lisa,0.0,0.015326688845316553,0.012066149648998986,0.0736758215299716,0.05864070281265772,0.013934116841183807,0.0053189020769422194,0.0033064413138699593,0.08596587064143257,0.0025085796884977392
Florent,0.015326688845316553,0.0,0.037764672786807334,0.14354624473326,0.05978476478128879,0.03464055731247911,0.010683304263248908,0.028174321439141205,0.07566844373704293,0.005920983624775624
Gavard,0.012066149648998986,0.037764672786807334,0.0,0.27279058657997696,0.1661293824375779,0.04564805361168306,0.0863065167055936,0.017982909746408895,0.1554903734860314,0.013085927003786935
Marjolin,0.0736758215299716,0.14354624473326,0.27279058657997696,0.0,0.19209329660573654,0.6025109272845692,0.8750877202236549,0.3228204273949024,0.007878355675317987,0.3961131198535049
Claude,0.05864070281265772,0.05978476478128879,0.1661293824375779,0.19209329660573654,0.0,0.41623023146048815,0.6603798655499663,0.24088541961976245,0.022841246072112624,0.13475575497379833
La Sarriette,0.013934116841183807,0.03464055731247911,0.04564805361168306,0.6025109272845692,0.41623023146048815,0.0,0.23416934863455124,0.13081871030469272,0.4537471227052124,0.10042985344888343
Norman,0.0053189020769422194,0.010683304263248908,0.0863065167055936,0.8750877202236549,0.6603798655499663,0.23416934863455124,0.0,0.4539687504870926,0.8904829826489785,0.17723706356539506
Pauline,0.0033064413138699593,0.028174321439141205,0.017982909746408895,0.3228204273949024,0.24088541961976245,0.13081871030469272,0.4539687504870926,0.0,0.4639274610424004,0.17548044897114448
Cadine,0.08596587064143257,0.07566844373704293,0.1554903734860314,0.007878355675317987,0.022841246072112624,0.4537471227052124,0.8904829826489785,0.4639274610424004,0.0,0.7172047286209985
Augustine,0.0025085796884977392,0.005920983624775624,0.013085927003786935,0.3961131198535049,0.13475575497379833,0.10042985344888343,0.17723706356539506,0.17548044897114448,0.7172047286209985,0.0
