,Lisa,Florent,Gavard,Marjolin,Claude,La Sarriette,Norman,Pauline,Cadine,Augustine
Lisa,0.0,0.0172696582446165,0.013266486726617975,0.07424351777189266,0.05916872900993578,0.018509395662120585,0.007347948735008934,0.004180142596380131,0.08720985677272178,0.003372324663441484
Florent,0.0172696582446165,0.0,0.048753847369518606,0.15872980078014082,0.0634053111243647,0.04538326254266844,0.014795741615820498,0.035505900027166276,0.07941315279691864,0.00781794541656651
Gavard,0.013266486726617975,0.048753847369518606,0.0,0.3073606710519073,0.18504791025683587,0.06076058017000708,0.11886104929514682,0.023121812082352453,0.16591763365215234,0.017684086384088738
Marjolin,0.07424351777189266,0.15872980078014082,0.3073606710519073,0.0,0.24352434325027547,0.7453398414881128,1.1070342456646365,0.3954095784506905,0.009470593347666516,0.4988306430667593
Claude,0.05916872900993578,0.0634053111243647,0.18504791025683587,0.24352434325027547,0.0,0.5083309663400891,0.8324261262501013,0.2921344512000265,0.025264561483155697,0.17418425761124587
La Sarriette,0.018509395662120585,0.04538326254266844,0.06076058017000708,0.7453398414881128,0.5083309663400891,0.0,0.3104666469960949,0.16819448995011985,0.520882141144259,0.12926154090821748
Norman,0.007347948735008934,0.014795741615820498,0.11886104929514682,1.1070342456646365,0.8324261262501013,0.3104666469960949,0.0,0.5897526739523813,1.0828751414275808,0.22314487420151893
Pauline,0.004180142596380131,0.035505900027166276,0.023121812082352453,0.3954095784506905,0.2921344512000265,0.16819448995011985,0.5897526739523813,0.0,0.5365133686541145,0.22943457549653337
Cadine,0.08720985677272178,0.07941315279691864,0.16591763365215234,0.009470593347666516,0.025264561483155697,0.520882141144259,1.0828751414275808,0.5365133686541145,0.0,0.8707094689192832
Augustine,0.003372324663441484,0.00781794541656651,0.017684086384088738,0.4988306430667593,0.17418425761124587,0.12926154090821748,0.22314487420151893,0.22943457549653337,0.8707094689192832,0.0
