,Miette,Rougon,Pierre,marquis,Aristide,Adélaïde,Faubourg,Viorne,Pascal,Dide
Miette,0.0,0.7592344933462349,0.5652901762652445,0.4934389942621292,0.3059170590351402,0.13835952336017665,0.08910701026600625,0.10822188858859735,0.14563544635995684,0.10717745210716054
Rougon,0.7592344933462349,0.0,0.048491437105643936,0.012026316960771033,0.03003677858403012,0.11517966167153922,0.17888338763183811,0.27187859394644814,0.023875587878223515,0.15204728171542967
Pierre,0.5652901762652445,0.048491437105643936,0.0,0.026722138973347544,0.047130420822518844,0.10414369523293353,0.15907795175184947,0.2545322511351865,0.04246491295498661,0.15587900923454917
marquis,0.4934389942621292,0.012026316960771033,0.026722138973347544,0.0,0.18769164330883026,0.4090106550583011,0.4799834046733083,0.5768122822693617,0.19175693025460722,0.4170635880116273
Aristide,0.3059170590351402,0.03003677858403012,0.047130420822518844,0.18769164330883026,0.0,0.29181446155881074,0.322958168577623,0.4067944163323284,0.03507931802613809,0.23410031531298625
Adélaïde,0.13835952336017665,0.11517966167153922,0.10414369523293353,0.4090106550583011,0.29181446155881074,0.0,0.07878060768699297,0.2172631311606095,0.15551434941677303,0.12063162144934986
Faubourg,0.08910701026600625,0.17888338763183811,0.15907795175184947,0.4799834046733083,0.322958168577623,0.07878060768699297,0.0,0.1720943284464037,0.3214589274500119,0.12702863261606792
Viorne,0.10822188858859735,0.27187859394644814,0.2545322511351865,0.5768122822693617,0.4067944163323284,0.2172631311606095,0.1720943284464037,0.0,0.5474175103968119,0.2932779785298823
Pascal,0.14563544635995684,0.023875587878223515,0.04246491295498661,0.19175693025460722,0.03507931802613809,0.15551434941677303,0.3214589274500119,0.5474175103968119,0.0,0.2902525014036438
Dide,0.10717745210716054,0.15204728171542967,0.15587900923454917,0.4170635880116273,0.23410031531298625,0.12063162144934986,0.12702863261606792,0.2932779785298823,0.2902525014036438,0.0
