,Miette,Rougon,Pierre,marquis,Aristide,Adélaïde,Faubourg,Viorne,Pascal,Dide
Miette,0.0,0.696697012089057,0.513381952689961,0.43449260979196636,0.2686830979170949,0.11734594223124711,0.07665302920768402,0.09596676143203,0.12524383770336667,0.09013559078759854
Rougon,0.696697012089057,0.0,0.04276037933961896,0.010419879651366419,0.02948121345503222,0.10708945724494487,0.17016074723102884,0.26420828139880503,0.0238473314503549,0.1479822227333041
Pierre,0.513381952689961,0.04276037933961896,0.0,0.02336816681745757,0.04451675717797219,0.09686573954398399,0.152052362503825,0.24821957080760929,0.040090986854046176,0.15104394847327038
marquis,0.43449260979196636,0.010419879651366419,0.02336816681745757,0.0,0.16801160143496802,0.3704319652408264,0.4418731462696844,0.5398009342132573,0.1717944304310292,0.3868306339642308
Aristide,0.2686830979170949,0.02948121345503222,0.04451675717797219,0.16801160143496802,0.0,0.26737630183184274,0.3018106288090235,0.38389838344108257,0.030579408167408614,0.2222680861470201
Adélaïde,0.11734594223124711,0.10708945724494487,0.09686573954398399,0.3704319652408264,0.26737630183184274,0.0,0.07559828479739077,0.20852756999115263,0.14086947471676017,0.11567160060616782
Faubourg,0.07665302920768402,0.17016074723102884,0.152052362503825,0.4418731462696844,0.3018106288090235,0.07559828479739077,0.0,0.16207758113077733,0.28922645674537517,0.11237629512645195
Viorne,0.09596676143203,0.26420828139880503,0.24821957080760929,0.5398009342132573,0.38389838344108257,0.20852756999115263,0.16207758113077733,0.0,0.4929153528273041,0.25669966871957084
Pascal,0.12524383770336667,0.0238473314503549,0.040090986854046176,0.1717944304310292,0.030579408167408614,0.14086947471676017,0.28922645674537517,0.4929153528273041,0.0,0.2718751057986596
Dide,0.09013559078759854,0.1479822227333041,0.15104394847327038,0.3868306339642308,0.2222680861470201,0.11567160060616782,0.11237629512645195,0.25669966871957084,0.2718751057986596,0.0
