,Miette,Rougon,Pierre,marquis,Aristide,Adélaïde,Faubourg,Viorne,Pascal,Dide
Miette,0.0,0.8211131417433692,0.617233891278105,0.5554888189466309,0.3454413404307037,0.16161384283971786,0.10268237771136457,0.12106564346021507,0.1679281178734952,0.1262031421025045
Rougon,0.8211131417433692,0.0,0.054512750782237204,0.013750209219576166,0.030656508487263243,0.12270032226190941,0.18640850480673,0.277709550053464,0.02397409103784149,0.15491047736277283
Pierre,0.617233891278105,0.054512750782237204,0.0,0.030269857279915432,0.04992350205380669,0.11093202619787973,0.16497570168845224,0.2591022384951956,0.045076909831490104,0.15965804012032955
marquis,0.5554888189466309,0.013750209219576166,0.030269857279915432,0.0,0.2084120786446419,0.4474970157680884,0.5169133300203673,0.6118762272945186,0.21275026055924387,0.44633453994049815
Aristide,0.3454413404307037,0.030656508487263243,0.04992350205380669,0.2084120786446419,0.0,0.31585184876015965,0.34301885111974467,0.42778244349403416,0.03992485154765431,0.24508506795516666
Adélaïde,0.16161384283971786,0.12270032226190941,0.11093202619787973,0.4474970157680884,0.31585184876015965,0.0,0.08159960883536407,0.2255002900721985,0.1708466165742235,0.1252340573147752
Faubourg,0.10268237771136457,0.18640850480673,0.16497570168845224,0.5169133300203673,0.34301885111974467,0.08159960883536407,0.0,0.18230582206776613,0.35480649031786476,0.14267832653904297
Viorne,0.12106564346021507,0.277709550053464,0.2591022384951956,0.6118762272945186,0.42778244349403416,0.2255002900721985,0.18230582206776613,0.0,0.6035068242178219,0.33256027485354106
Pascal,0.1679281178734952,0.02397409103784149,0.045076909831490104,0.21275026055924387,0.03992485154765431,0.1708466165742235,0.35480649031786476,0.6035068242178219,0.0,0.30796434221901925
Dide,0.1262031421025045,0.15491047736277283,0.15965804012032955,0.44633453994049815,0.24508506795516666,0.1252340573147752,0.14267832653904297,0.33256027485354106,0.30796434221901925,0.0
