,Denise,Mouret,Pauline,Hutin,Henriette,Geneviève,Clara,Jean,Jouve,Madame Marty
Denise,0.0,0.05859325549606573,0.0013009675585455686,0.008743076395375238,0.02450051939461413,0.003749049354744889,0.0024454272922759435,0.0015625208316032207,0.004956934500379629,0.010078043680238053
Mouret,0.05859325549606573,0.0,0.064132171498856,0.03064041929682502,0.006148390031971091,0.11502084031275017,0.007106194988290613,0.04326090507824493,0.008487606732099516,0.005825664630511547
Pauline,0.0013009675585455686,0.064132171498856,0.0,0.09655007905955207,0.2742831500312879,0.5692488606193499,0.09159451282862315,0.25982645296768114,0.06650850363110407,0.10669025042288625
Hutin,0.008743076395375238,0.03064041929682502,0.09655007905955207,0.0,0.2570433480999784,0.5403693287839308,0.09730155349504883,0.29102418321241424,0.0852946574557583,0.09867941684148872
Henriette,0.02450051939461413,0.006148390031971091,0.2742831500312879,0.2570433480999784,0.0,0.5524579396509507,0.1879513584252007,0.49142569203489445,0.30127859581782523,0.10504093021899924
Geneviève,0.003749049354744889,0.11502084031275017,0.5692488606193499,0.5403693287839308,0.5524579396509507,0.0,0.5076836267863902,0.403444404697634,0.5964760356449111,0.3166571573299105
Clara,0.0024454272922759435,0.007106194988290613,0.09159451282862315,0.09730155349504883,0.1879513584252007,0.5076836267863902,0.0,0.3087335557833991,0.1461579239121827,0.07043811420310231
Jean,0.0015625208316032207,0.04326090507824493,0.25982645296768114,0.29102418321241424,0.49142569203489445,0.403444404697634,0.3087335557833991,0.0,0.21660096984716287,0.2962045950457582
Jouve,0.004956934500379629,0.008487606732099516,0.06650850363110407,0.0852946574557583,0.30127859581782523,0.5964760356449111,0.1461579239121827,0.21660096984716287,0.0,0.16331741164318478
Madame Marty,0.010078043680238053,0.005825664630511547,0.10669025042288625,0.09867941684148872,0.10504093021899924,0.3166571573299105,0.07043811420310231,0.2962045950457582,0.16331741164318478,0.0
