,Denise,Mouret,Pauline,Hutin,Henriette,Geneviève,Clara,Jean,Jouve,Madame Marty
Denise,0.0,0.06445646464549279,0.001470060457916076,0.00963948502901351,0.026941016798372103,0.003315309726600855,0.002638802242353089,0.0016367190507827639,0.005501200745580417,0.010790979846474008
Mouret,0.06445646464549279,0.0,0.07369367961565629,0.035421811213124384,0.006884344609172096,0.10928154536232658,0.008022748865217018,0.04301088505728302,0.00982327720926458,0.006110590092718251
Pauline,0.001470060457916076,0.07369367961565629,0.0,0.10831042234000181,0.30701294613493213,0.5903861006984024,0.10096776865060475,0.2678590028463297,0.0757276900605081,0.11343561657094904
Hutin,0.00963948502901351,0.035421811213124384,0.10831042234000181,0.0,0.287771978908264,0.5563593422859264,0.10605568010409222,0.3018966865113825,0.09619092333185074,0.10318294032993641
Henriette,0.026941016798372103,0.006884344609172096,0.30701294613493213,0.287771978908264,0.0,0.5706611279907299,0.20854877258166146,0.5284159164017843,0.33996435870952135,0.1087803102163483
Geneviève,0.003315309726600855,0.10928154536232658,0.5903861006984024,0.5563593422859264,0.5706611279907299,0.0,0.5241091468026731,0.4365388407517993,0.6371459459657293,0.34678280547962353
Clara,0.002638802242353089,0.008022748865217018,0.10096776865060475,0.10605568010409222,0.20854877258166146,0.5241091468026731,0.0,0.3265989779058434,0.16684596387010286,0.07452714448275959
Jean,0.0016367190507827639,0.04301088505728302,0.2678590028463297,0.3018966865113825,0.5284159164017843,0.4365388407517993,0.3265989779058434,0.0,0.22930523976906553,0.326536315963508
Jouve,0.005501200745580417,0.00982327720926458,0.0757276900605081,0.09619092333185074,0.33996435870952135,0.6371459459657293,0.16684596387010286,0.22930523976906553,0.0,0.17712679600010092
Madame Marty,0.010790979846474008,0.006110590092718251,0.11343561657094904,0.10318294032993641,0.1087803102163483,0.34678280547962353,0.07452714448275959,0.326536315963508,0.17712679600010092,0.0
