,Camille,Grivet,Michaud,Thérèse,Suzanne,Raquin,Raquins,Olivier,M. Grivet,Saint-Ouen
Camille,0.0,0.022858252595896158,0.018865722443060874,0.01171456804585346,0.013520350231432988,0.0037640312115696855,0.009095986595388267,0.009046593184469246,0.006690907432948498,0.006033595118411247
Grivet,0.022858252595896158,0.0,0.06260936964921925,0.07840224883231346,0.10951922090516208,0.03478246001983336,0.013142446797597228,0.027660310114630732,0.0008168910267370617,0.015053591850847203
Michaud,0.018865722443060874,0.06260936964921925,0.0,0.054182233628495495,0.09140265303993067,0.03442910715710523,0.028935040065655275,0.027835086799421024,0.0047417674482224115,0.022538593351646947
Thérèse,0.01171456804585346,0.07840224883231346,0.054182233628495495,0.0,0.14405310639253038,0.29948364888123924,0.03882702047546855,0.02906232308610034,0.13738967221772624,0.06537407909784838
Suzanne,0.013520350231432988,0.10951922090516208,0.09140265303993067,0.14405310639253038,0.0,0.19649965361287472,0.07192440528433512,0.03359891790435163,0.24229367802335172,0.1453990037728968
Raquin,0.0037640312115696855,0.03478246001983336,0.03442910715710523,0.29948364888123924,0.19649965361287472,0.0,0.2868826298571771,0.062402875456414104,0.04435528300524709,0.040597584282256724
Raquins,0.009095986595388267,0.013142446797597228,0.028935040065655275,0.03882702047546855,0.07192440528433512,0.2868826298571771,0.0,0.46683042482132875,0.4763424559163808,0.6123111176968992
Olivier,0.009046593184469246,0.027660310114630732,0.027835086799421024,0.02906232308610034,0.03359891790435163,0.062402875456414104,0.46683042482132875,0.0,0.3037922741106336,0.16191540048557523
M. Grivet,0.006690907432948498,0.0008168910267370617,0.0047417674482224115,0.13738967221772624,0.24229367802335172,0.04435528300524709,0.4763424559163808,0.3037922741106336,0.0,0.14187687362505835
Saint-Ouen,0.006033595118411247,0.015053591850847203,0.022538593351646947,0.06537407909784838,0.1453990037728968,0.040597584282256724,0.6123111176968992,0.16191540048557523,0.14187687362505835,0.0
