,Camille,Grivet,Michaud,Thérèse,Suzanne,Raquin,Raquins,Olivier,M. Grivet,Saint-Ouen
Camille,0.0,0.020019135523845016,0.01811595987202214,0.010353556118801318,0.011966154125877843,0.0036514278667217712,0.0077676844033436054,0.007858295564859091,0.005989726867565419,0.0053212214495995305
Grivet,0.020019135523845016,0.0,0.05903010660602522,0.06796145808195714,0.09364455192524221,0.034650483447618494,0.012434823461389242,0.023865198344410355,0.0007318421439659328,0.01333295383624337
Michaud,0.01811595987202214,0.05903010660602522,0.0,0.0476287270020268,0.07959991155334932,0.0354766842538911,0.02731981776849004,0.024184177312056784,0.004251196218909052,0.020046992411063187
Thérèse,0.010353556118801318,0.06796145808195714,0.0476287270020268,0.0,0.13302575667462482,0.28049183294633506,0.036825638516592714,0.028303249920553362,0.12234071996502018,0.05843488919811042
Suzanne,0.011966154125877843,0.09364455192524221,0.07959991155334932,0.13302575667462482,0.0,0.17980064391955852,0.06722761771420341,0.03202462641515222,0.2158573403317872,0.12844732009362095
Raquin,0.0036514278667217712,0.034650483447618494,0.0354766842538911,0.28049183294633506,0.17980064391955852,0.0,0.2529185811903444,0.05588414454353767,0.03958709548431642,0.0358250525129485
Raquins,0.0077676844033436054,0.012434823461389242,0.02731981776849004,0.036825638516592714,0.06722761771420341,0.2529185811903444,0.0,0.4128679052884815,0.4387484498003125,0.5439059662892739
Olivier,0.007858295564859091,0.023865198344410355,0.024184177312056784,0.028303249920553362,0.03202462641515222,0.05588414454353767,0.4128679052884815,0.0,0.26857658279253593,0.14287623814974118
M. Grivet,0.005989726867565419,0.0007318421439659328,0.004251196218909052,0.12234071996502018,0.2158573403317872,0.03958709548431642,0.4387484498003125,0.26857658279253593,0.0,0.12570034464279475
Saint-Ouen,0.0053212214495995305,0.01333295383624337,0.020046992411063187,0.05843488919811042,0.12844732009362095,0.0358250525129485,0.5439059662892739,0.14287623814974118,0.12570034464279475,0.0
