,Camille,Grivet,Michaud,Thérèse,Suzanne,Raquin,Raquins,Olivier,M. Grivet,Saint-Ouen
Camille,0.0,0.02598042391385573,0.01986286083711356,0.013181390803532412,0.0152416993042356,0.003879478648349398,0.010576788391352268,0.010315463086647065,0.007399431864152447,0.006773775174876799
Grivet,0.02598042391385573,0.0,0.06660710683444525,0.0898179889443106,0.12704058006186658,0.03496419866999973,0.013762183138347196,0.03176995717205201,0.0009027058826127643,0.01682790151910722
Michaud,0.01986286083711356,0.06660710683444525,0.0,0.06126317378701045,0.10443047062920706,0.033417249262425265,0.030356822561406142,0.031775143894880044,0.005236062911222102,0.02508678248162336
Thérèse,0.013181390803532412,0.0898179889443106,0.06126317378701045,0.0,0.15536910565156128,0.31786692277462125,0.04071673770598667,0.029615800192428543,0.1527540770325147,0.07240979459565577
Suzanne,0.0152416993042356,0.12704058006186658,0.10443047062920706,0.15536910565156128,0.0,0.21340654681278554,0.07628093273320481,0.03497107052484743,0.2692877167224238,0.1629465799952782
Raquin,0.003879478648349398,0.03496419866999973,0.033417249262425265,0.31786692277462125,0.21340654681278554,0.0,0.3233477655415052,0.06914432716854714,0.049201340527825765,0.04554986604882745
Raquins,0.010576788391352268,0.013762183138347196,0.030356822561406142,0.04071673770598667,0.07628093273320481,0.3233477655415052,0.0,0.5235399818680883,0.512146102680985,0.6835685568949311
Olivier,0.010315463086647065,0.03176995717205201,0.031775143894880044,0.029615800192428543,0.03497107052484743,0.06914432716854714,0.5235399818680883,0.0,0.34020855094832303,0.18166347993095547
M. Grivet,0.007399431864152447,0.0009027058826127643,0.005236062911222102,0.1527540770325147,0.2692877167224238,0.049201340527825765,0.512146102680985,0.34020855094832303,0.0,0.15854507101736756
Saint-Ouen,0.006773775174876799,0.01682790151910722,0.02508678248162336,0.07240979459565577,0.1629465799952782,0.04554986604882745,0.6835685568949311,0.18166347993095547,0.15854507101736756,0.0
